id,sid,theta,k,c
1,0,-0.70590806,0.5083762,1.0008879
2,1,0.14523783,0.4971353,0.9992133
3,2,0.49270904,0.4921159,1.0008092
4,3,-0.20227502,0.50294054,1.0005692
5,4,0.5711499,0.49386045,0.99987936
6,5,-0.12516952,0.5026643,1.0007446
7,6,-0.08564386,0.50136596,1.0006882
8,7,-0.048258755,0.5023209,1.0003816
9,8,0.10623208,0.4970126,1.0002228
10,9,-0.66776395,0.5092734,1.0002292
11,10,-0.12495054,0.5000339,0.99787086
12,11,-0.5501894,0.50603473,1.0024302
13,12,0.76631355,0.49082989,1.0004755
14,13,0.22257172,0.49697855,0.9992715
15,14,-0.55092317,0.50907457,0.9989279
16,15,0.067626454,0.49919143,1.0004007
17,16,0.41613773,0.4952295,0.99929225
18,17,0.33860564,0.49537966,1.0003175
19,18,0.33877626,0.49718747,0.9996806
20,19,-0.08621884,0.50152653,1.0005033
21,20,0.18315843,0.49561474,0.9995246
22,21,-0.08623353,0.5004234,1.0014795
23,22,0.06851258,0.5001868,0.99932724
24,23,-0.12409135,0.50212556,1.000152
25,24,0.10728467,0.500456,0.99927306
26,25,-0.009805669,0.49890327,1.0007994
27,26,0.26107773,0.4941607,0.9997225
28,27,0.18357044,0.49758026,0.99899465
29,28,-0.08680786,0.5022368,1.0011306
30,29,0.3773028,0.4979535,1.0006804
31,30,0.49383193,0.49327487,0.9990218
32,31,-0.47256666,0.50600445,0.9998037
33,32,-0.048340213,0.4999745,0.9980025
34,33,0.29934165,0.49596235,0.99997514
35,34,0.29976904,0.4949335,1.0010483
36,35,-0.08647488,0.500733,1.0015857
37,36,0.0686552,0.5002423,0.99847704
38,37,-0.5894234,0.5075645,1.000541
39,38,0.26099992,0.49388862,0.99870425
40,39,-0.2404621,0.50165343,1.0009261
41,40,0.029525723,0.49847475,0.9998332
42,41,-0.318596,0.50674844,1.000076
43,42,-0.8242684,0.50929743,1.0000024
44,43,0.5324924,0.49278617,0.9988536
45,44,-0.20187384,0.4995375,1.0002896
46,45,0.41596663,0.49386722,0.9995909
47,46,0.14433329,0.49627796,1.0008719
48,47,-0.47394654,0.50476205,0.99885046
49,48,0.2604006,0.49846694,0.99993426
50,49,-0.2793685,0.5048932,1.0003518
51,50,0.06771887,0.5019205,0.99954385
52,51,0.0684447,0.50024724,0.9997559
53,52,0.41595587,0.49456027,0.9997647
54,53,0.14428456,0.49778226,0.9999928
55,54,0.33876476,0.49717015,1.0005677
56,55,0.029345272,0.5000546,1.000633
57,56,0.10577287,0.5002024,1.0004184
58,57,-0.16330412,0.5031343,1.0002598
59,58,0.45358175,0.4932947,1.0001028
60,59,-0.16321658,0.5020992,1.0011501
61,60,-0.2792927,0.50184005,0.999128
62,61,-0.47261742,0.50448847,0.99952877
63,62,-0.16273518,0.50353295,0.9995083
64,63,-0.39604017,0.5047048,0.9997237
65,64,-0.20238383,0.5044224,1.0007285
66,65,0.5321199,0.4937549,0.9994328
67,66,-0.16427103,0.50256366,1.0000315
68,67,-0.009606367,0.5008241,1.0008018
69,68,-0.047413636,0.499059,0.9996778
70,69,0.26124397,0.497004,0.99993527
71,70,0.14521125,0.4979326,1.0006588
72,71,-0.39577338,0.5034842,0.999825
73,72,0.33774516,0.49396697,1.0005702
74,73,0.33841047,0.49479964,0.9989707
