itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.32438025,0.23752707,1.6061677,1.6496652
2,1,-0.6358602,-0.705538,1.8122689,1.724951
3,2,-0.4512286,-0.4061699,1.6791046,1.5917605
4,3,1.018873,0.94807553,1.7423843,1.8471198
5,4,-1.2151867,-1.2591327,1.9616803,1.8511416
6,5,-1.5038216,-1.5954401,2.051928,1.9542886
7,6,0.5853556,0.5761372,1.5767095,1.6842456
8,7,-0.06628459,0.015664395,1.754187,1.7717378
9,8,-0.4737549,-0.5761723,1.7409115,1.6942806
10,9,1.3345764,1.166388,1.7288634,1.8194513
11,10,0.4216102,0.46503824,1.5695447,1.6100829
12,11,-0.41063473,-0.38614097,1.7284799,1.6543097
13,12,0.22120368,0.22982508,1.5622505,1.6067622
14,13,-0.06682525,0.017044893,1.6983806,1.7008468
15,14,0.6274808,0.42246738,1.5574018,1.6325376
16,15,-0.29991013,-0.33130082,1.6645674,1.6031003
17,16,-0.8801504,-1.0328832,1.867902,1.7917976
18,17,0.13659626,0.33485076,1.6603836,1.6904954
19,18,-0.73285425,-0.7179337,1.8155068,1.7396148
20,19,0.4197085,0.41549322,1.6044697,1.6776096
21,20,0.74820405,0.7855665,1.5365952,1.6324383
22,21,-0.51137936,-0.5166423,1.6673789,1.57528
23,22,-0.47469196,-0.60919523,1.8066547,1.7510315
24,23,0.7776106,0.80219966,1.5250807,1.6430035
25,24,-0.77505195,-0.7765677,1.7969838,1.7229847
26,25,0.65143836,0.5066642,1.6063781,1.6736637
27,26,0.11328837,-0.005579603,1.6070093,1.6474296
28,27,-0.35912576,-0.31834978,1.6442276,1.5802202
29,28,-0.37154943,-0.44990197,1.6667607,1.6176252
30,29,0.07269776,0.07522786,1.5703788,1.5776799
31,30,0.26449513,0.2456885,1.6501156,1.67654
32,31,-0.3789221,-0.26539811,1.7732333,1.7050141
33,32,0.09755876,0.11584192,1.7390022,1.7234687
34,33,0.25260204,0.36657083,1.681959,1.7319031
35,34,-0.13338059,-0.26671517,1.635265,1.6176538
36,35,-0.21424052,-0.22767164,1.7176045,1.6907828
37,36,0.62524194,0.6816155,1.6064365,1.6891577
38,37,0.18203461,0.16728948,1.6691022,1.7143352
39,38,-0.11794278,-0.14232793,1.77606,1.7361052
40,39,0.51925445,0.4681521,1.5854743,1.6740196
41,40,0.39337257,0.45522454,1.6915399,1.7243819
42,41,-0.45619845,-0.42341304,1.7266992,1.696282
43,42,0.43097052,0.3788877,1.6442755,1.7109113
44,43,0.6051554,0.5301923,1.6108663,1.707378
45,44,-0.5120865,-0.48182607,1.818922,1.7348574
46,45,0.6780925,0.51267344,1.5997941,1.6318378
47,46,-0.30462497,-0.27290285,1.6631408,1.6224083
48,47,0.6640514,0.6322326,1.6079671,1.6468309
49,48,-0.3942106,-0.39850694,1.7497561,1.673317
50,49,-0.42592463,-0.36270663,1.627284,1.5709032
