itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.34954113,0.25835946,1.615143,1.6363386
2,1,-0.5977569,-0.70285827,1.766482,1.7530748
3,2,-0.48741144,-0.45992538,1.6189154,1.587316
4,3,1.0070426,0.97765344,1.7754742,1.8117312
5,4,-1.2740109,-1.2870466,1.9352841,1.883014
6,5,-1.5889274,-1.5998249,2.0072474,1.9532375
7,6,0.57535696,0.5366145,1.6327261,1.6800891
8,7,-0.06825365,0.041207023,1.6746484,1.7037933
9,8,-0.4165682,-0.5746076,1.7605702,1.7724664
10,9,1.2531065,1.1664643,1.7791152,1.8071574
11,10,0.4345539,0.4396822,1.5934879,1.5823501
12,11,-0.41720253,-0.41928393,1.6542336,1.610494
13,12,0.29220596,0.24964035,1.5824357,1.6036643
14,13,-0.034698464,-0.08798762,1.6216198,1.6285981
15,14,0.56701857,0.39562067,1.6052417,1.6208987
16,15,-0.2325313,-0.33091164,1.6904234,1.6671342
17,16,-0.87534887,-1.0197588,1.8206803,1.8241426
18,17,0.19754244,0.3283246,1.6509674,1.6664214
19,18,-0.7452651,-0.7846818,1.7405015,1.7295282
20,19,0.47430664,0.3823365,1.6573583,1.6650022
21,20,0.70817405,0.7064619,1.6544137,1.673477
22,21,-0.5159803,-0.52022463,1.6737868,1.6302828
23,22,-0.528308,-0.6427064,1.7302197,1.7252399
24,23,0.7829289,0.8245711,1.5811489,1.6427997
25,24,-0.8878952,-0.83131355,1.6940539,1.6651353
26,25,0.609297,0.52415144,1.6713359,1.687532
27,26,0.10750779,0.002152669,1.633983,1.6385299
28,27,-0.3106121,-0.36256677,1.6255631,1.6055977
29,28,-0.36432958,-0.46247262,1.6430005,1.6301081
30,29,0.11440873,0.024811486,1.5896415,1.5732452
31,30,0.27994302,0.18390033,1.6229647,1.6195232
32,31,-0.3745702,-0.30875057,1.7203561,1.7085174
33,32,0.112403795,0.04424223,1.7359757,1.7199671
34,33,0.2938359,0.27809727,1.6884173,1.7208859
35,34,-0.17275083,-0.3004597,1.6096739,1.5945663
36,35,-0.23948498,-0.24190909,1.6585555,1.6654215
37,36,0.6581679,0.62161726,1.6658254,1.6716223
38,37,0.25539872,0.0884572,1.6524785,1.6617882
39,38,-0.011590528,-0.15247084,1.765013,1.7426585
40,39,0.55752134,0.488135,1.6497009,1.6655881
41,40,0.4035343,0.4024985,1.724397,1.7316477
42,41,-0.44534656,-0.49616152,1.6819519,1.6918032
43,42,0.41001233,0.3219528,1.6801413,1.7110027
44,43,0.5309256,0.53578544,1.6262066,1.6695057
45,44,-0.49589202,-0.52012503,1.7430093,1.718511
46,45,0.6418057,0.51981926,1.6112895,1.5909979
47,46,-0.3283412,-0.30899483,1.6387606,1.6249335
48,47,0.6642178,0.6677364,1.6397978,1.6251014
49,48,-0.40742284,-0.45583346,1.7081385,1.6691736
50,49,-0.4602576,-0.40581554,1.5763001,1.5587041
