itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.47970182,0.34496185,1.0,1.0
2,1,-1.0023992,-1.1306994,1.0,1.0
3,2,-0.637869,-0.65648454,1.0,1.0
4,3,1.6289927,1.5137616,1.0,1.0
5,4,-1.9818076,-2.0732582,1.0,1.0
6,5,-2.419797,-2.5442853,1.0,1.0
7,6,0.88931334,0.8322961,1.0,1.0
8,7,-0.06257443,-0.028876673,1.0,1.0
9,8,-0.73810256,-0.9003105,1.0,1.0
10,9,2.051062,1.8726541,1.0,1.0
11,10,0.6478598,0.6320941,1.0,1.0
12,11,-0.60211736,-0.6300429,1.0,1.0
13,12,0.33783993,0.30727813,1.0,1.0
14,13,-0.060937744,-0.023116667,1.0,1.0
15,14,0.8849195,0.63250756,1.0,1.0
16,15,-0.43116117,-0.51904875,1.0,1.0
17,16,-1.4589003,-1.6512985,1.0,1.0
18,17,0.26927963,0.42712018,1.0,1.0
19,18,-1.1375221,-1.185851,1.0,1.0
20,19,0.64521545,0.591182,1.0,1.0
21,20,1.1245052,1.1026301,1.0,1.0
22,21,-0.74222046,-0.79014504,1.0,1.0
23,22,-0.7702241,-0.9719325,1.0,1.0
24,23,1.1582392,1.1333029,1.0,1.0
25,24,-1.2028581,-1.26349,1.0,1.0
26,25,0.9556068,0.7685886,1.0,1.0
27,26,0.15900534,-0.014890686,1.0,1.0
28,27,-0.4971278,-0.51434535,1.0,1.0
29,28,-0.54715234,-0.6943442,1.0,1.0
30,29,0.13116941,0.07056067,1.0,1.0
31,30,0.42165735,0.33246592,1.0,1.0
32,31,-0.5541785,-0.47497812,1.0,1.0
33,32,0.17681928,0.13964184,1.0,1.0
34,33,0.4338312,0.5072706,1.0,1.0
35,34,-0.20728357,-0.39760014,1.0,1.0
36,35,-0.30458635,-0.39218333,1.0,1.0
37,36,0.9760512,0.97645766,1.0,1.0
38,37,0.29774365,0.22272058,1.0,1.0
39,38,-0.15802,-0.264667,1.0,1.0
40,39,0.76388395,0.6882679,1.0,1.0
41,40,0.6439182,0.6562893,1.0,1.0
42,41,-0.67526287,-0.7008273,1.0,1.0
43,42,0.65682596,0.5620787,1.0,1.0
44,43,0.89744484,0.7954165,1.0,1.0
45,44,-0.7913616,-0.8071185,1.0,1.0
46,45,0.9765503,0.7647333,1.0,1.0
47,46,-0.43260664,-0.45054057,1.0,1.0
48,47,0.9917893,0.9214117,1.0,1.0
49,48,-0.5934345,-0.646605,1.0,1.0
50,49,-0.5897245,-0.5804251,1.0,1.0
