itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.48226926,0.22500189,1.0,1.0
2,1,-0.9381969,-1.0337465,1.0,1.0
3,2,-0.4940337,-0.6219717,1.0,1.0
4,3,1.3373864,1.3338627,1.0,1.0
5,4,-1.6825686,-1.8543308,1.0,1.0
6,5,-2.5329657,-2.6037335,1.0,1.0
7,6,0.896192,0.79721636,1.0,1.0
8,7,0.0054502706,-0.14324605,1.0,1.0
9,8,-0.82190925,-0.92089194,1.0,1.0
10,9,2.0887933,1.9893548,1.0,1.0
11,10,0.7201624,0.5797113,1.0,1.0
12,11,-0.6047025,-0.6646466,1.0,1.0
13,12,0.21435381,0.14810395,1.0,1.0
14,13,-0.030189745,-0.15226392,1.0,1.0
15,14,0.618456,0.5303718,1.0,1.0
16,15,-0.5624151,-0.6885373,1.0,1.0
17,16,-1.562159,-1.5343615,1.0,1.0
18,17,0.40691417,0.33008143,1.0,1.0
19,18,-1.0384142,-1.1835814,1.0,1.0
20,19,0.62433726,0.5511625,1.0,1.0
21,20,1.0547957,0.9056078,1.0,1.0
22,21,-0.77624977,-0.8143453,1.0,1.0
23,22,-0.92336583,-1.1098641,1.0,1.0
24,23,1.217937,0.9359758,1.0,1.0
25,24,-1.3402051,-1.3845406,1.0,1.0
26,25,0.8788585,0.79644203,1.0,1.0
27,26,0.12605023,0.0052518407,1.0,1.0
28,27,-0.36288524,-0.5557217,1.0,1.0
29,28,-0.4948777,-0.62153155,1.0,1.0
30,29,0.21362093,0.060350243,1.0,1.0
31,30,0.469524,0.36062187,1.0,1.0
32,31,-0.57003605,-0.5555791,1.0,1.0
33,32,0.16639538,0.0638066,1.0,1.0
34,33,0.5298957,0.3515397,1.0,1.0
35,34,-0.37586108,-0.46194476,1.0,1.0
36,35,-0.31562948,-0.38968065,1.0,1.0
37,36,0.97072214,0.8223762,1.0,1.0
38,37,0.4652558,0.26346758,1.0,1.0
39,38,-0.29242387,-0.41270375,1.0,1.0
40,39,0.6670615,0.56956017,1.0,1.0
41,40,0.6681903,0.43352523,1.0,1.0
42,41,-0.59111327,-0.71374935,1.0,1.0
43,42,0.7479721,0.6254299,1.0,1.0
44,43,0.8507434,0.63335186,1.0,1.0
45,44,-0.6669643,-0.77471256,1.0,1.0
46,45,0.9104097,0.9083369,1.0,1.0
47,46,-0.40449467,-0.69357294,1.0,1.0
48,47,1.0862782,1.0134423,1.0,1.0
49,48,-0.6129454,-0.7449029,1.0,1.0
50,49,-0.4234103,-0.61730635,1.0,1.0
