id,sid,theta,k,c
144,143,0.7373199,0.4881838,0.9995236
145,144,0.20201163,0.4997345,0.9992711
146,145,0.33632258,0.499195,1.0020112
147,146,0.015104766,0.5001374,0.99860775
148,147,-0.5515128,0.5070222,1.000245
149,148,0.28710094,0.49641418,0.9991722
150,149,0.29225782,0.49773407,1.000946
151,150,-0.1908198,0.5019918,1.0002677
152,151,0.24306147,0.4987767,1.0011028
153,152,0.32788792,0.4985378,1.0018048
154,153,-0.19473132,0.5016274,0.99959064
155,154,-0.10228326,0.50253767,0.99947715
156,155,0.6881226,0.49019524,1.0010073
157,156,-0.2351905,0.5035363,1.0008459
158,157,0.33177966,0.49302414,0.9988103
159,158,0.11082949,0.49848986,1.0003784
160,159,-0.4223729,0.50550336,0.9996276
161,160,0.16077478,0.5014129,1.0012587
162,161,-0.46848443,0.49863923,1.00306
163,162,0.19963227,0.49994433,0.9999409
164,163,0.10697659,0.50007695,1.0014943
165,164,0.10941979,0.4978064,0.999329
166,165,0.06829266,0.4979688,0.99821746
167,166,-0.28155187,0.5043547,1.0002553
168,167,0.5091284,0.49606925,1.0002247
169,168,-0.4264606,0.50280595,1.000447
170,169,0.6934939,0.49259767,0.99988204
171,170,-0.00769519,0.49946553,0.99918234
172,171,-0.025413834,0.5010649,1.0004445
173,172,-0.68678,0.50939983,0.99874926
174,173,-0.16069807,0.5029262,0.99915045
175,174,-0.41035894,0.5061737,0.9997366
176,175,0.46911103,0.4946355,0.9990203
177,176,-0.3799618,0.50382197,1.0015672
178,177,0.7956813,0.49108967,0.9997676
179,178,-0.10291578,0.50257605,1.0004153
180,179,-0.23811285,0.50256234,1.0004264
181,180,0.46893737,0.49354625,1.0006794
182,181,0.93359894,0.48820662,0.99976456
183,182,0.41337088,0.49685055,0.9985481
184,183,-0.10716675,0.49989074,0.99958277
185,184,-0.060352564,0.4986713,1.0014803
186,185,-0.36952746,0.50448346,1.0004112
187,186,0.791301,0.49162793,1.0002874
188,187,-0.978237,0.5117909,0.9990776
189,188,0.3738676,0.49131435,0.9991949
190,189,0.23852995,0.49520344,1.0006014
191,190,-0.27192542,0.50474495,1.0031282
192,191,-0.41455054,0.50614434,0.9998944
193,192,0.20435236,0.5000948,0.9975365
194,193,0.781203,0.4918865,1.0009798
195,194,0.6477257,0.49259382,0.99890137
196,195,0.032868516,0.49958816,1.0010942
197,196,0.24275115,0.4985996,0.99823767
198,197,-0.772776,0.509372,1.0008411
199,198,-0.24412492,0.5016625,1.0014173
200,199,0.560686,0.4916714,0.9989006
201,200,-0.78956527,0.508504,0.99984825
202,201,-0.105260454,0.50085413,0.99998647
203,202,-0.46137786,0.50879353,0.9986299
204,203,-0.008593517,0.49721572,1.0002382
205,204,-0.41741902,0.5058302,1.0009195
206,205,-0.06482871,0.5033235,1.0006205
207,206,-0.6421615,0.5075397,1.0012692
208,207,-0.5589554,0.5050196,0.998705
209,208,-0.32442456,0.50440985,0.9991592
210,209,-0.34082747,0.5005016,0.9989469
211,210,-0.3652203,0.5039664,0.99970526
212,211,0.64189047,0.49557287,0.998435
213,212,-0.1867138,0.5031032,1.0014055
214,213,-0.37330884,0.5039151,1.0004264
215,214,0.5211916,0.49393812,1.0011107
216,215,-0.030982053,0.49786428,0.9984753
217,216,-0.42146054,0.5030642,1.0012419
218,217,-0.29034695,0.5022443,0.999453
219,218,0.4676078,0.49531114,1.0010182
220,219,-0.16746388,0.4992902,0.9986341
221,220,-0.15225722,0.5029353,1.0014241
222,221,0.32802495,0.49501008,1.0001686
223,222,-0.19398819,0.5032613,0.9995017
224,223,-0.27991953,0.50457555,1.0024289
225,224,0.28535533,0.49803212,1.00045
226,225,-0.36751884,0.5058806,0.9984124
227,226,0.60533464,0.4938019,1.0005215
228,227,0.564309,0.4934672,1.0006284
229,228,0.0627318,0.49790466,0.9996638
230,229,-0.10844931,0.50346905,0.99867874
231,230,-0.6388972,0.50748426,1.00082
232,231,0.36471096,0.49387982,0.9996696
233,232,1.0820217,0.487528,1.0005281
234,233,0.19709438,0.49715802,0.9988525
235,234,-0.6404308,0.510424,1.0007355
236,235,0.15984327,0.50191975,0.9987221
237,236,-0.5050406,0.5037848,1.000497
238,237,-0.5867147,0.505643,1.0013509
239,238,-0.06721158,0.5033358,0.99950063
240,239,-0.50954336,0.49967352,1.0010396
241,240,0.64439785,0.493456,1.0015328
242,241,0.38138756,0.49819463,0.9990675
243,242,0.10926596,0.49677634,0.9998314
244,243,0.3263001,0.49329117,1.0009123
245,244,-0.3638312,0.50727236,1.0003871
246,245,-0.18985237,0.5025016,1.0017228
247,246,0.41936454,0.49650642,0.9987654
248,247,-0.2336063,0.49979502,0.9995266
249,248,0.36923403,0.4965472,0.99906516
250,249,0.25204518,0.4984279,0.9998175
251,250,-0.36503863,0.5064333,1.0017465
252,251,-0.42013696,0.50224376,0.99925834
253,252,0.557396,0.4932989,1.0003208
254,253,-0.45875093,0.505887,1.0013105
255,254,0.5128802,0.49478388,0.9981281
256,255,0.15181984,0.49979094,0.99998945
257,256,0.16140269,0.49725172,1.0001334
258,257,-0.113832265,0.49959552,1.0003628
259,258,0.83421034,0.49183825,1.0001531
260,259,0.11307858,0.50282496,1.0000286
261,260,-0.064151764,0.49843958,1.0003693
262,261,-0.2823815,0.5022679,1.0000855
263,262,-0.33175483,0.50387514,1.001125
264,263,0.36839095,0.4991996,1.0000685
265,264,-0.19961217,0.49696317,1.0012025
266,265,0.19336057,0.49651203,1.0000024
267,266,0.15137891,0.494213,0.99930584
268,267,-0.72229534,0.5114743,1.0005319
269,268,0.15055504,0.49655923,0.9999931
