id,sid,theta,k,c
1,0,-0.8104025,0.5059124,1.0007284
2,1,0.15555969,0.49703586,0.99885935
3,2,0.55374897,0.49338162,1.0006124
4,3,-0.23865236,0.50207067,1.0010314
5,4,0.64519244,0.49640968,1.0000575
6,5,-0.14867671,0.50329655,1.0008101
7,6,-0.10255885,0.5018725,1.0009528
8,7,-0.06614055,0.50271904,1.0003966
9,8,0.123034514,0.4963077,1.0003668
10,9,-0.7617586,0.50736076,1.0001091
11,10,-0.13733293,0.49865386,0.997653
12,11,-0.624965,0.50393254,1.0025011
13,12,0.87779623,0.49376985,1.0007335
14,13,0.23849252,0.4978298,0.9991242
15,14,-0.6402653,0.50802255,0.9987872
16,15,0.07734476,0.49898815,1.000334
17,16,0.46747592,0.49702296,0.9993822
18,17,0.36986065,0.49616334,1.0002617
19,18,0.37287703,0.4986766,0.9996428
20,19,-0.103044644,0.5013935,1.0005915
21,20,0.20163845,0.49526188,0.9993362
22,21,-0.10428571,0.49945465,1.0015539
23,22,0.0653072,0.50053847,0.99942154
24,23,-0.14303969,0.50177777,0.9999172
25,24,0.11968676,0.5013436,0.99927324
26,25,-0.029771814,0.49904513,1.0012314
27,26,0.29823628,0.4945186,0.99956757
28,27,0.2050305,0.49858227,0.99857587
29,28,-0.10049046,0.50260407,1.0014501
30,29,0.4278866,0.5002025,1.0006589
31,30,0.56420076,0.4948315,0.9991589
32,31,-0.5382505,0.5044437,0.99970657
33,32,-0.049873143,0.5000896,0.9978279
34,33,0.33449236,0.49703056,1.000154
35,34,0.33360496,0.49522153,1.0012689
36,35,-0.10954707,0.49995878,1.0013942
37,36,0.070308015,0.50186604,0.9985404
38,37,-0.6815533,0.5057879,1.0005062
39,38,0.28107107,0.49420026,0.99827963
40,39,-0.26870403,0.5003322,1.0010424
41,40,0.029367238,0.49840322,0.9995905
42,41,-0.36450815,0.50651896,1.0003392
43,42,-0.9623924,0.5063408,0.9999148
44,43,0.60258526,0.49441624,0.9988451
45,44,-0.23174062,0.49728152,1.0007439
46,45,0.47507715,0.49437678,0.9994835
47,46,0.15435238,0.49569604,1.0008165
48,47,-0.548719,0.5020759,0.9986057
49,48,0.3033778,0.49982125,0.99974424
50,49,-0.3167384,0.5051334,1.0006577
51,50,0.07426736,0.50323546,0.99958926
52,51,0.060463414,0.50021905,0.99965394
53,52,0.4739596,0.4958218,0.9998483
54,53,0.15349409,0.4982137,0.9998703
55,54,0.37892646,0.49947926,1.0005941
56,55,0.031700093,0.50026476,1.0008328
57,56,0.11797099,0.5009788,1.0005622
58,57,-0.18366708,0.50281835,1.0002061
59,58,0.5072629,0.49455515,1.0002707
60,59,-0.17985122,0.5013334,1.0012937
61,60,-0.322034,0.50032425,0.9987991
62,61,-0.5436744,0.50187916,0.9994557
63,62,-0.18242979,0.50367355,0.99932957
64,63,-0.44768092,0.50351876,1.0001075
65,64,-0.22634786,0.5042655,1.0011193
66,65,0.60052866,0.49500188,0.99959755
67,66,-0.18324879,0.50205934,1.0003519
68,67,-0.016285256,0.50127006,1.0006312
69,68,-0.061837994,0.49875128,0.9994236
70,69,0.3035225,0.4980146,0.99983233
71,70,0.15228586,0.49880517,1.0007089
72,71,-0.4559029,0.5013914,0.99958664
73,72,0.3793801,0.494455,1.0005932
74,73,0.38165247,0.496034,0.99889404
75,74,-0.05429738,0.49689415,1.0005805
76,75,-0.360012,0.507738,1.0014994
77,76,-0.27188587,0.5000651,0.9981713
78,77,0.20579603,0.50007534,0.9992846
79,78,0.20756833,0.49624348,1.0004733
80,79,0.12385774,0.4993335,1.0003473
81,80,0.33411264,0.5010613,1.0003719
82,81,-0.6796468,0.50651294,1.0006266
83,82,0.47044453,0.4930011,1.0003539
84,83,-0.11465586,0.49870834,1.0011108
85,84,-0.49058178,0.50425607,1.0007049
86,85,0.34321198,0.49899578,1.0009171
87,86,-0.1898564,0.50199264,1.0011035
88,87,-0.19238411,0.5057326,1.0002043
89,88,-0.2338207,0.5000693,0.9997061
90,89,-0.58493644,0.5043985,1.0011185
91,90,-0.2785696,0.5046077,1.0015147
92,91,-0.27212694,0.5039722,0.9999006
93,92,0.7896275,0.49509943,1.0008467
94,93,0.4268343,0.49725592,0.99989355
95,94,-0.22326048,0.5024176,1.0003142
96,95,0.15154774,0.49868643,1.0015137
97,96,-0.10251621,0.4997037,0.9999102
98,97,0.034601204,0.50169533,1.0014793
99,98,-0.39813462,0.5018841,1.0002657
100,99,0.32502055,0.5002809,1.0000861
101,100,0.3360216,0.5003703,0.9999129
102,101,-0.5400335,0.50556546,0.99997723
103,102,0.8368942,0.49488997,0.99862707
104,103,0.6001399,0.49480188,1.0002195
105,104,-0.49321198,0.5076945,0.9981413
106,105,0.32269374,0.49541777,0.9996534
107,106,0.15343541,0.4935574,1.0004417
108,107,-0.58415765,0.5033722,0.9983008
109,108,-0.62121034,0.5066481,0.99977285
110,109,-0.49802038,0.50160986,0.9996192
111,110,0.02267276,0.5007285,0.9982853
112,111,-0.22752479,0.5027495,1.0006113
113,112,-0.18557999,0.5031685,1.0000284
114,113,-0.41388333,0.49872312,0.99964535
115,114,-0.47978774,0.5053277,1.0007676
116,115,-0.1807896,0.500753,1.0003397
117,116,-0.39988315,0.5009423,0.9998373
