id,sid,theta,k,c
1,0,-0.82668304,0.50428194,1.0010723
2,1,0.03191909,0.49819764,0.9983352
3,2,0.47154796,0.49630064,1.0008107
4,3,-0.46277913,0.5014239,1.000822
5,4,0.6544075,0.49861178,1.0006377
6,5,-0.18838504,0.5042354,1.0004425
7,6,-0.10037218,0.4973209,1.000334
8,7,-0.06038477,0.5019633,1.0001168
9,8,0.25577155,0.4938195,1.0002929
10,9,-0.72595465,0.5020403,0.99968576
11,10,-0.18354762,0.49727175,0.9992605
12,11,-0.48896354,0.50287235,1.001462
13,12,0.83478,0.49774045,0.99967647
14,13,0.37548873,0.49687648,1.0000429
15,14,-0.54370147,0.5024132,0.9988012
16,15,0.07688429,0.49991822,1.0005875
17,16,0.4289685,0.49988437,1.0000988
18,17,0.28937268,0.49799624,1.0000564
19,18,0.4702473,0.50096196,0.9997535
20,19,-0.18913811,0.49965304,1.0003147
21,20,0.24997278,0.49394804,1.0004714
22,21,-0.056377985,0.49914026,0.9998344
23,22,-0.05462836,0.5043563,0.99952865
24,23,-0.17576823,0.5039708,0.99913496
25,24,0.16889459,0.49770382,0.99939615
26,25,-0.027665412,0.50208896,1.0008899
27,26,0.34794226,0.4981717,0.99977624
28,27,0.16280676,0.49824727,0.9992826
29,28,-0.14375088,0.5014076,1.0006236
30,29,0.4312615,0.50447583,1.0012234
31,30,0.52157146,0.49792853,0.9996564
32,31,-0.5845673,0.5011342,0.99975634
33,32,0.037009366,0.49826786,0.99932605
34,33,0.2520912,0.5002548,1.0013027
35,34,0.25316378,0.50119543,1.000557
36,35,-0.06829371,0.49885157,1.0006356
37,36,-0.01496191,0.5061351,0.99948937
38,37,-0.72828126,0.5047975,0.9996653
39,38,0.33771127,0.49483517,0.9988446
40,39,-0.26807356,0.4980431,1.0005106
41,40,-0.050799876,0.5014086,1.0000412
42,41,-0.31871593,0.5033049,0.99957347
43,42,-0.8651463,0.5024664,0.9998211
44,43,0.6087246,0.49680048,0.9990942
45,44,-0.22749786,0.49734342,1.0001894
46,45,0.47289443,0.49743858,0.9994002
47,46,0.28889588,0.49976552,1.0005298
48,47,-0.41317675,0.50159144,0.999517
49,48,0.2557702,0.500066,1.0006504
50,49,-0.3595444,0.5017667,1.0006092
51,50,0.033955112,0.5009333,0.9999669
52,51,0.020722676,0.49942404,0.9998473
53,52,0.2588148,0.49956116,1.0001824
54,53,0.11428433,0.50385845,1.0002214
55,54,0.249612,0.50317526,1.0016415
56,55,0.036016695,0.50160223,1.0007771
57,56,0.123147786,0.5007112,1.0003319
58,57,-0.098768674,0.49939382,0.99984795
59,58,0.5153033,0.49612293,1.0002517
60,59,-0.049660042,0.49909544,1.0000145
61,60,-0.19391449,0.5002014,0.99933654
62,61,-0.45829603,0.4997011,0.9991073
63,62,-0.09383944,0.5034391,0.99925
64,63,-0.35915843,0.5028449,0.99995315
65,64,-0.22207746,0.503323,1.0017065
66,65,0.6043245,0.49768558,0.99969095
67,66,-0.09508406,0.49893254,1.0007315
68,67,0.07344967,0.50399405,1.0002377
69,68,-0.10236144,0.49704507,0.9999033
70,69,0.3967194,0.49690676,0.99947155
71,70,0.11165408,0.5014452,1.0017995
72,71,-0.3676429,0.50143975,0.99936426
73,72,0.38411695,0.49812573,1.0004812
74,73,0.38645506,0.49999413,0.99874574
75,74,-0.17692043,0.49893692,1.0012493
76,75,-0.27522507,0.50389665,1.0008473
77,76,-0.19031031,0.49634513,0.9990193
78,77,0.21228382,0.49533936,1.0000503
79,78,0.21252833,0.49830273,1.0004908
80,79,-0.08601202,0.49897006,0.99937063
81,80,0.25063625,0.50342375,0.99922985
82,81,-0.5428119,0.50488406,1.0011215
83,82,0.386591,0.4945933,1.0006578
84,83,-0.023237808,0.50033116,1.0005558
85,84,-0.538082,0.5014164,0.99999166
86,85,0.17119113,0.49895614,0.99992025
87,86,-0.14238954,0.50158846,1.0001298
88,87,-0.2745603,0.5051762,0.99993306
89,88,-0.2270295,0.49962673,0.99981683
90,89,-0.4930204,0.50221545,1.0001919
91,90,-0.40824175,0.50176436,1.0003321
92,91,-0.27289653,0.5030425,0.99987024
93,92,0.74591154,0.49877378,1.0005357
94,93,0.35358527,0.49935964,1.0005181
95,94,-0.13428672,0.50284475,1.0004144
96,95,0.2855609,0.4990299,1.000353
97,96,-0.059922438,0.5017936,0.99942774
98,97,0.038938183,0.50447667,1.0012064
99,98,-0.44379926,0.49792218,1.0004456
100,99,0.23851086,0.5012418,1.0001737
101,100,0.5183082,0.49756572,0.9993798
102,101,-0.5399129,0.5046427,1.0001912
103,102,0.7977646,0.49767762,0.9993384
104,103,0.56097674,0.4950888,1.000687
105,104,-0.539568,0.5035786,0.9988179
106,105,0.46298742,0.49885744,0.99903667
107,106,0.20468776,0.49557683,1.0007395
108,107,-0.49279267,0.49854875,0.9994302
109,108,-0.67158055,0.505144,0.9997564
110,109,-0.54173934,0.49893054,0.99927
111,110,0.028580885,0.49904138,0.9985107
112,111,-0.3153747,0.5002626,0.99987733
113,112,-0.18331018,0.5038234,0.99936867
114,113,-0.27200446,0.4975831,0.9990134
115,114,-0.52792025,0.50756544,1.0014403
116,115,-0.13625541,0.49971977,0.9998457
117,116,-0.3585809,0.50045615,1.0000362
118,117,-0.5951674,0.49915707,1.0008653
119,118,0.80238855,0.4953646,0.99981415
120,119,0.12105152,0.4999136,0.9994818
121,120,0.07883822,0.5002835,0.99932504
122,121,-0.5368594,0.49903852,0.9999423
123,122,0.018639008,0.5006497,1.0000929
124,123,-0.15150563,0.5002651,0.9994658
125,124,-0.18863283,0.502973,1.0005736
126,125,-0.62178606,0.4996979,1.0005234
127,126,-0.593927,0.49995244,1.0006545
128,127,-0.44383478,0.50394434,0.99924153
129,128,0.1161767,0.50622386,1.0006088
130,129,0.08533312,0.5008917,1.0005764
131,130,-0.8651935,0.5028446,0.9992746
132,131,0.56881416,0.4992463,0.9998594
133,132,0.42423898,0.50151336,0.999766
134,133,0.21036227,0.49871004,1.000535
135,134,0.21234855,0.5056455,1.0005023
136,135,0.611032,0.49885672,0.9995592
137,136,0.08294433,0.5015751,0.9995637
138,137,0.38922447,0.4988451,1.0006672
139,138,-0.19231214,0.49642476,1.0000942
140,139,-0.088407815,0.5001181,0.99958324
141,140,0.4294117,0.49939406,0.99936414
142,141,0.7030494,0.49572653,1.0011183
143,142,0.38166308,0.501862,0.9999521
144,143,0.9829607,0.49446025,0.99986875
145,144,0.25100392,0.49975002,1.0000174
146,145,0.12093433,0.49594617,0.9987217
147,146,0.20266213,0.50009096,1.0006166
148,147,-0.29349506,0.49730334,1.0000802
149,148,0.06505059,0.49931428,1.0004615
150,149,0.16754399,0.49581647,1.0001498
151,150,-0.23146044,0.5043571,0.9993205
152,151,0.20450625,0.4935234,1.000513
153,152,0.12363135,0.5019624,1.000695
154,153,0.08071029,0.49248204,1.0006784
155,154,-0.09656615,0.4993781,0.9995504
156,155,0.52111435,0.4997067,0.9996246
157,156,0.21487056,0.5020397,1.0001643
158,157,-0.05694752,0.5025014,0.9996478
159,158,0.4356465,0.4984574,1.0002377
160,159,-0.69363856,0.501969,1.0002406
161,160,0.03457902,0.50019366,0.999591
162,161,-0.36604303,0.50471145,1.0002961
163,162,0.112858176,0.50016725,1.0007151
164,163,0.19740903,0.49723625,1.0001428
165,164,-0.097172864,0.49871978,1.0002564
166,165,0.29449975,0.498896,1.0008074
167,166,-0.32744896,0.50390726,0.9990492
168,167,0.5118671,0.500191,0.99947625
169,168,-0.10770982,0.5015871,1.0000336
170,169,0.8894121,0.49399316,1.0002503
171,170,0.12140328,0.4986384,0.9999739
172,171,0.12567262,0.5028565,0.99901956
173,172,-0.7689867,0.505073,1.0011978
174,173,-0.14462435,0.50109214,0.999352
175,174,-0.5292123,0.5042407,0.9996634
176,175,0.07009735,0.5019705,1.0008638
177,176,-0.45493302,0.50271964,0.9993307
178,177,0.65709335,0.49378192,1.000079
179,178,-0.4057693,0.49790445,0.99968547
180,179,0.17194772,0.49690124,0.9991007
181,180,0.39152044,0.49949318,1.0001206
182,181,0.98114944,0.4957077,1.0007699
183,182,0.6992552,0.49520773,0.99990964
184,183,0.028890884,0.5051192,0.9997145
185,184,0.07681756,0.49773237,0.9991675
186,185,-0.01754894,0.4989839,1.0004525
187,186,0.8419267,0.4964081,1.0015417
188,187,-0.918094,0.50409657,0.9998964
189,188,0.6049169,0.50016147,1.0011212
190,189,0.12814663,0.49870932,1.0008385
191,190,-0.35641637,0.4994583,0.9992049
192,191,-0.4958691,0.5035675,0.99915206
193,192,0.039448183,0.49958932,0.9999547
194,193,0.11802498,0.5015283,1.0000663
195,194,0.4788806,0.5015817,1.0013778
196,195,0.15967132,0.4989907,1.0003963
197,196,0.29553175,0.49968892,0.99825424
198,197,-0.452508,0.5033019,0.9995281
199,198,-0.3957523,0.49873474,1.0001704
200,199,0.4311845,0.4993182,0.998602
201,200,-0.7778073,0.5045029,0.9999047
202,201,-0.17865375,0.50083727,1.000119
203,202,-0.40146577,0.5049889,0.99987406
204,203,-0.050868902,0.49989685,0.9996073
205,204,-0.40336132,0.5033608,1.0005114
206,205,0.2035505,0.4990879,1.0002269
207,206,-0.45691398,0.50154394,0.99934286
208,207,-0.36330867,0.5038373,1.0014809
209,208,-0.5361411,0.502632,0.99886554
210,209,-0.4025585,0.5024932,1.0004468
211,210,-0.44577786,0.5030074,0.9995634
212,211,0.47264057,0.50105596,0.99946016
213,212,-0.41364798,0.5006999,1.0011687
214,213,-0.37262425,0.5053086,1.0004922
215,214,0.5805393,0.49849665,1.0011957
216,215,0.2482061,0.50038624,0.99947345
217,216,-0.5386537,0.5032402,1.0003477
218,217,-0.5333986,0.5039172,1.0004636
219,218,0.1114433,0.5020799,1.0012065
220,219,0.12386976,0.49552938,1.0008429
221,220,0.018547183,0.4961967,0.999006
222,221,0.43262193,0.49878708,0.9993593
223,222,0.26034978,0.4990455,0.99955285
224,223,-0.5414867,0.5049552,1.0002166
225,224,0.2966584,0.49984252,1.0010762
226,225,-0.26491597,0.49917686,0.9998138
227,226,0.6538349,0.49483204,0.9996109
228,227,0.61146414,0.49487534,1.0007237
229,228,0.39252946,0.50441134,0.9990271
230,229,-0.05575157,0.5003332,0.99906355
231,230,-0.6811628,0.5037783,0.9996325
232,231,0.20950793,0.4991509,1.0006241
233,232,1.0389351,0.49523696,1.0005003
234,233,-0.10443377,0.5035735,0.99999344
235,234,-0.723368,0.50359434,0.9998195
236,235,-0.004840015,0.49880016,0.99998635
237,236,-0.5864177,0.499778,1.0006119
238,237,-0.6439113,0.5007824,1.0006514
239,238,0.025766103,0.49707776,1.0019482
240,239,-0.23953018,0.505048,1.0012274
241,240,0.46996176,0.49845737,0.9995856
242,241,0.6542803,0.49880758,0.99980205
243,242,0.29788673,0.49693084,1.000429
244,243,0.25821584,0.49595296,1.0004218
245,244,-0.6736088,0.50504154,1.000885
246,245,-0.40562883,0.4974025,0.99869806
247,246,0.034689024,0.4976509,0.99974257
248,247,-0.13297783,0.4999398,1.0004722
249,248,0.3439762,0.49927258,1.000725
