id,sid,theta,k,c
143,142,1.0454428,0.5030968,1.0001352
144,143,2.4194,0.49890164,1.0002939
145,144,0.08749953,0.49459642,1.0008181
146,145,0.6739082,0.49452165,0.9988282
147,146,0.55100226,0.49899158,1.0012698
148,147,-0.6072741,0.48866612,1.0003166
149,148,-0.06809444,0.5009742,1.0009437
150,149,0.3673604,0.49394247,0.9982161
151,150,-0.33932117,0.50972617,0.99809915
152,151,0.34719494,0.49060693,1.0023063
153,152,-0.057360988,0.50652975,1.0022335
154,153,0.31165734,0.48775,1.0012478
155,154,0.07530193,0.49806944,0.99875104
156,155,1.0718408,0.5013476,0.99985814
157,156,0.4432389,0.5063309,1.0018747
158,157,-0.21254154,0.5042399,0.9979622
159,158,1.0646051,0.4932324,1.0012972
160,159,-1.0723125,0.5018501,1.0010371
161,160,0.09060311,0.4930798,0.9988282
162,161,-0.71664464,0.50375897,0.99954367
163,162,0.6482966,0.50237614,1.0002253
164,163,0.5115537,0.5003773,1.001436
165,164,-0.25158373,0.49781078,0.9998564
166,165,0.8991487,0.49897444,1.0010777
167,166,-0.9432632,0.5120665,0.9994094
168,167,1.0199218,0.50277376,0.99986607
169,168,-0.3307489,0.5053351,1.0007001
170,169,2.2909846,0.49682412,1.0000201
171,170,0.17000806,0.49486297,1.0019641
172,171,0.2911744,0.5037052,1.0000993
173,172,-1.936926,0.5034464,1.0002581
174,173,-0.3182604,0.503935,0.9994636
175,174,-0.9696366,0.50775456,1.0003831
176,175,0.16259052,0.49919802,1.0016518
177,176,-1.0043867,0.5014006,0.9982122
178,177,1.2217075,0.49244237,1.0012615
179,178,-1.0451534,0.4985277,0.99991214
180,179,0.08246479,0.49459067,0.99809974
181,180,0.87693834,0.49825582,0.9989377
182,181,2.1713867,0.49652755,1.0005587
183,182,1.4899558,0.49825177,0.9997922
184,183,0.11409782,0.50778145,0.9995455
185,184,-0.01346996,0.4996102,0.9994978
186,185,-0.25894976,0.49979421,1.0010101
187,186,1.9959173,0.50103456,1.0019462
188,187,-2.284495,0.5008525,0.9996554
189,188,1.2460594,0.49829343,1.0005329
190,189,0.17153066,0.49509662,1.0018153
191,190,-0.75842494,0.49870947,1.0000108
192,191,-0.8795495,0.5019845,0.9982554
193,192,0.11309301,0.4977799,0.99980754
194,193,0.32285845,0.5020322,0.9995326
195,194,1.1171651,0.50373495,1.0014082
196,195,0.26253378,0.4976395,0.9990486
197,196,0.805437,0.4999564,0.9975289
198,197,-1.0151193,0.5028985,0.99941504
199,198,-0.71364874,0.5009355,1.0005336
200,199,1.0838302,0.49898797,0.99877214
201,200,-1.6609625,0.49766275,1.0008332
202,201,-0.525744,0.5031684,1.0008379
203,202,-0.59973294,0.5023854,1.0021273
204,203,0.022846146,0.5013501,0.99752885
205,204,-0.8921073,0.5027723,0.998803
206,205,0.15616669,0.49832395,1.0024003
207,206,-0.8593682,0.50084174,1.0001619
208,207,-0.70677704,0.5045806,1.0026612
209,208,-0.72651684,0.50213844,0.9983738
210,209,-1.0867114,0.5014396,1.0009378
211,210,-0.9061681,0.509695,0.99996877
212,211,0.8672398,0.50425637,1.000379
213,212,-0.44842017,0.50459737,1.0023403
214,213,-0.6788555,0.50302666,1.0017422
215,214,0.83352363,0.5023718,1.0012351
216,215,0.41016334,0.49793875,1.0009447
217,216,-0.8996333,0.5035392,0.9997915
218,217,-1.1936499,0.5039068,1.0002695
219,218,0.2100301,0.50532585,1.0012815
220,219,0.47145692,0.49461597,1.00118
221,220,0.21829863,0.49562436,0.9970134
222,221,1.1817706,0.49812853,0.9981605
223,222,0.31309202,0.49810374,0.99916476
224,223,-0.8391074,0.50071764,0.99991167
225,224,0.6748458,0.49820134,1.002611
226,225,-0.5216785,0.501423,0.9994951
227,226,1.4207326,0.49811244,0.9991174
