id,sid,theta,k,c
144,143,1.4304858,0.48717043,0.99947584
145,144,0.4647147,0.50328934,0.9988251
146,145,0.61612767,0.5032887,1.002289
147,146,0.1108117,0.49976352,0.9977957
148,147,-1.0446786,0.5049698,1.000633
149,148,0.45518553,0.49517208,0.9992437
150,149,0.53490263,0.49791846,1.0009977
151,150,-0.46739593,0.49686676,0.99978334
152,151,0.52022254,0.5030793,1.0011169
153,152,0.7455632,0.502051,1.0032028
154,153,-0.5422984,0.49445742,0.99843025
155,154,-0.08844934,0.5060893,0.9992359
156,155,1.4596561,0.4925372,1.0016522
157,156,-0.46823236,0.50075924,1.0004011
158,157,0.7818371,0.4929951,0.99900544
159,158,0.20290467,0.4994957,1.0005636
160,159,-0.93194026,0.5016061,0.9996649
161,160,0.083581865,0.4994429,1.0013478
162,161,-0.74992806,0.49451068,1.0050036
163,162,0.5021606,0.5045817,1.0005956
164,163,0.26701227,0.50251657,1.0018264
165,164,0.36078832,0.5003493,0.9984588
166,165,0.088983916,0.49548802,0.99738467
167,166,-0.43935788,0.50395685,1.0006113
168,167,0.9829945,0.49865472,0.9996254
169,168,-0.7788684,0.49802005,1.0009837
170,169,1.165127,0.49111512,0.9999694
171,170,0.06460688,0.5021249,0.99919444
172,171,-0.043858483,0.50178933,1.0010737
173,172,-1.2920521,0.5082507,0.99882615
174,173,-0.29651368,0.50083613,0.9996915
175,174,-0.83266073,0.5038493,0.99917305
176,175,0.8669545,0.49563405,0.9985443
177,176,-0.5927847,0.50301385,1.0024123
178,177,1.3343421,0.49068472,1.0001525
179,178,-0.15828083,0.5036058,1.0011632
180,179,-0.35038772,0.5033497,1.0003033
181,180,0.7562285,0.49093485,1.0011497
182,181,1.599479,0.4863886,0.999049
183,182,0.83434755,0.5010929,0.9984385
184,183,-0.0688956,0.5008657,0.9992167
185,184,-0.15334713,0.49676588,1.0026531
186,185,-0.9348122,0.49809664,1.0006101
187,186,1.8658037,0.4979653,1.0008593
188,187,-1.9528596,0.5085996,0.99938744
189,188,0.7876927,0.49126223,0.9985461
190,189,0.27804527,0.49014327,1.0011604
191,190,-0.7013524,0.5004148,1.0038459
192,191,-0.76197183,0.5041379,1.0001203
193,192,0.34635302,0.50179577,0.9970299
194,193,1.9362036,0.50066775,1.000471
195,194,1.2781613,0.49569604,0.9977909
196,195,0.093137465,0.5009076,1.0009181
197,196,0.40840673,0.4974052,0.9975001
198,197,-1.3817155,0.50782067,1.000926
199,198,-0.37487584,0.50229084,1.0022281
200,199,1.0582781,0.4931453,0.9989435
201,200,-1.651844,0.50380206,1.0002688
202,201,-0.27126208,0.49819386,0.9995657
203,202,-0.66970325,0.5129708,0.99870133
204,203,0.041373122,0.497116,1.0005568
205,204,-0.75423783,0.5055344,1.0014225
206,205,-0.033380795,0.50616056,1.0005761
207,206,-1.1905707,0.5058221,1.0010761
208,207,-0.9568666,0.5034491,0.99837214
209,208,-0.5611418,0.5013968,0.99877936
210,209,-0.6312488,0.4964148,0.99906486
211,210,-0.5188025,0.50568086,0.99926996
212,211,1.4227659,0.5036783,0.99789184
213,212,-0.2564211,0.50541896,1.0027317
214,213,-1.163395,0.49382558,1.0001385
215,214,1.1942722,0.49812958,1.0011655
216,215,-0.09167063,0.49450713,0.99739033
217,216,-0.76817334,0.49927178,1.0019326
218,217,-0.4935633,0.49960345,0.99886143
219,218,0.8532271,0.4947615,1.0017159
220,219,-0.25029278,0.49718997,0.9982145
221,220,-0.121953204,0.5073168,1.0018718
222,221,0.63992995,0.4952054,0.9996905
