id,sid,theta,k,c
143,142,1.1162432,1.388378,0.984319
144,143,3.7959118,0.20195344,1.1563915
145,144,0.80851275,0.6763325,1.0147759
146,145,0.55568945,-0.5960061,1.1521397
147,146,0.5979518,1.220135,1.4067006
148,147,-0.50026125,-0.2886703,1.3071157
149,148,0.33721632,0.9118776,1.3976812
150,149,0.6557104,-0.26286438,1.541583
151,150,-0.5525698,1.4415457,1.5027903
152,151,0.83000845,-0.8216897,1.5450209
153,152,0.52377135,0.8990525,1.3354679
154,153,0.49774617,-0.7210268,1.6066638
155,154,-0.004933311,0.12903379,0.99322754
156,155,1.5418186,1.3033468,0.83037555
157,156,0.6225747,1.313901,1.075745
158,157,-0.14689912,1.2955484,0.9327822
159,158,1.4297523,0.1320264,1.5068557
160,159,-1.7866869,-0.06677416,1.4903755
161,160,0.18401122,1.052442,0.77756315
162,161,-0.99287957,2.1043296,1.9365015
163,162,0.4136628,0.6255863,1.1239024
164,163,0.67938226,0.47602695,0.9767536
165,164,-0.06335849,0.19610365,0.795188
166,165,1.0627909,0.6364746,1.076734
167,166,-0.7668857,1.0101321,0.87846
168,167,1.5558674,1.0115969,0.61693007
169,168,-0.09783434,0.49126384,1.2264829
170,169,2.9955614,0.09726246,1.1993377
171,170,0.45206732,0.5504673,1.2484688
172,171,0.43355265,1.4213864,1.025444
173,172,-2.1930227,1.476237,1.5678822
174,173,-0.22644699,0.5106711,0.60118806
175,174,-1.3494195,0.884537,1.067582
176,175,0.27452606,0.9516874,1.3231629
177,176,-1.1321735,0.89214325,0.82240576
178,177,2.1779075,-0.7370501,1.7276359
179,178,-0.8209606,-0.88473964,1.539629
180,179,0.65762705,0.12571287,0.98997027
181,180,1.2876481,1.00034,1.6878394
182,181,3.700382,0.23644263,1.1827073
183,182,2.2712936,0.13372818,1.2838235
184,183,0.06649454,1.5808322,1.8435885
185,184,0.38322616,0.31666008,0.76680905
186,185,0.026803449,0.4680445,1.0950314
187,186,2.781512,0.40386918,1.5361478
188,187,-2.905119,0.6790048,0.9961203
189,188,1.8679805,0.74215937,1.6289179
190,189,0.55233705,0.18757081,1.2733954
191,190,-0.7328694,-0.48809394,1.2805597
192,191,-1.2230109,0.92776483,0.8057134
193,192,0.3740679,-0.21026866,1.4159138
194,193,0.40402594,1.1993008,1.0328637
195,194,1.456894,0.7240697,1.4514966
