itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,1.2225443,-0.4986526,2.4873364,2.4519372
2,1,-1.3419089,-0.6041897,0.9377287,1.6646369
3,2,0.09566583,-0.84099597,0.595405,2.2006955
4,3,0.3989301,2.3442771,1.8287125,2.2682533
5,4,-0.84189695,-2.7759063,1.3687656,2.3141165
6,5,-2.3580854,-2.7306864,1.1346637,2.3449397
7,6,0.19271965,1.2911334,1.3736687,2.3098977
8,7,0.3384675,-0.16124663,0.51733875,2.0046172
9,8,-0.61717975,-0.8455439,1.6255089,1.2302921
10,9,1.5715288,2.4198692,1.0777237,2.354891
11,10,0.05734636,1.323323,1.5116919,1.4141098
12,11,-0.87048805,-0.5039929,0.53780496,2.2417371
13,12,-0.5757747,1.2121193,2.425505,1.7474732
14,13,0.60115016,-0.6201048,1.4186051,1.718553
15,14,-0.15596259,1.2018204,1.5144567,2.132486
16,15,-0.44899848,-0.7424447,1.6750952,0.8718838
17,16,-2.874742,-0.3878564,2.4304059,2.476973
18,17,0.08978509,0.81121314,1.472571,1.0818022
19,18,-0.8029085,-1.2644829,1.7193731,0.9761407
20,19,-0.0005623881,1.4122272,2.2537606,1.2445629
21,20,1.8631743,0.061518412,2.3098507,1.810016
22,21,-1.6473501,0.24926588,2.2012022,1.830504
23,22,-0.3315611,-1.3394617,1.2220173,1.9132562
24,23,1.8008226,0.14710464,2.8194785,1.3351789
25,24,-1.868115,-0.4129579,2.752501,1.4804657
26,25,0.6898962,1.1539989,1.0226905,1.224054
27,26,0.5844316,-0.5129154,1.7323362,1.1290731
28,27,0.26453447,-0.77167684,0.82622325,2.14109
29,28,-0.1462162,-0.94275403,1.4979789,1.0573838
30,29,0.38601226,-0.16934125,2.0586166,0.9252335
31,30,0.40351823,0.558882,1.2813283,1.0195754
32,31,-1.5848898,0.530723,2.1691177,1.9200732
33,32,0.81532,-0.4406848,1.5909799,1.9864848
34,33,0.6699076,0.05235138,2.3240738,0.6288289
35,34,-1.4144568,0.49424675,1.9124838,2.9344888
36,35,-0.6186733,0.23636921,1.7796284,0.8003684
37,36,1.2093925,0.36156237,2.2953923,1.0223536
38,37,1.2987853,-0.22511508,1.0370227,1.5379268
39,38,-0.30001965,-0.29828298,1.3471648,1.0479506
40,39,-0.22675715,1.2878973,1.7421119,3.030831
41,40,1.2293457,-0.18523286,1.9852254,1.555228
42,41,-0.49569058,-0.94246054,1.9125702,0.58996344
43,42,0.92380995,0.5942724,0.7721319,2.0576165
44,43,1.5861933,-0.23054661,2.8590999,1.6663058
45,44,-0.6098019,-0.65121907,2.136314,0.8052208
46,45,0.0720317,1.6361898,1.6259588,2.416175
47,46,0.440974,-1.5116637,2.0108242,2.0526214
48,47,0.8807996,1.4841874,1.2262131,0.98964536
49,48,0.097676165,-1.1124152,1.385315,2.058733
50,49,0.34718746,-1.2085013,1.5094174,1.7649864
