itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,1.4732137,-0.39999688,1.0,1.0
2,1,-1.6417747,-0.77864856,1.0,1.0
3,2,0.6582034,-2.5075657,1.0,1.0
4,3,0.8624944,3.1566207,1.0,1.0
5,4,-1.2680261,-4.227003,1.0,1.0
6,5,-3.4783368,-3.6136515,1.0,1.0
7,6,0.47586396,1.910432,1.0,1.0
8,7,1.2067823,-1.3544364,1.0,1.0
9,8,-1.307159,-0.78922397,1.0,1.0
10,9,2.0032556,3.692041,1.0,1.0
11,10,0.038796473,1.8835359,1.0,1.0
12,11,-2.2786884,0.3723255,1.0,1.0
13,12,-0.7590091,1.4282573,1.0,1.0
14,13,0.6293156,-0.7962917,1.0,1.0
15,14,0.045654435,1.6232369,1.0,1.0
16,15,-0.6988616,-0.7607117,1.0,1.0
17,16,-3.2379668,-1.1147208,1.0,1.0
18,17,0.027664986,1.0468216,1.0,1.0
19,18,-0.75091994,-2.110029,1.0,1.0
20,19,0.5383793,1.0533503,1.0,1.0
21,20,2.7251651,0.29090977,1.0,1.0
22,21,-2.5209675,0.15940064,1.0,1.0
23,22,-0.4331111,-2.2958663,1.0,1.0
24,23,3.2316494,0.264202,1.0,1.0
25,24,-3.3228233,-0.7428239,1.0,1.0
26,25,0.15690549,2.4069881,1.0,1.0
27,26,1.0477762,-0.79005057,1.0,1.0
28,27,0.53995275,-1.8249619,1.0,1.0
29,28,-0.34412035,-0.97555774,1.0,1.0
30,29,0.5531832,-0.109901994,1.0,1.0
31,30,0.07645033,1.1220819,1.0,1.0
32,31,-2.4082332,0.63199174,1.0,1.0
33,32,0.66082174,-0.27489027,1.0,1.0
34,33,1.4204584,-0.14303692,1.0,1.0
35,34,-1.2795858,0.23363322,1.0,1.0
36,35,-1.7829856,0.8429057,1.0,1.0
37,36,1.7910795,0.6369077,1.0,1.0
38,37,1.8744643,-0.6720969,1.0,1.0
39,38,-0.16432819,-0.623885,1.0,1.0
40,39,0.12688012,1.6561785,1.0,1.0
41,40,1.6199126,-0.017420035,1.0,1.0
42,41,0.08557834,-1.8481338,1.0,1.0
43,42,1.1914438,0.64186484,1.0,1.0
44,43,2.5848138,-0.16410574,1.0,1.0
45,44,-1.4039503,-0.3506096,1.0,1.0
46,45,0.40828806,2.2508721,1.0,1.0
47,46,0.44373298,-2.1175692,1.0,1.0
48,47,0.605766,2.4099076,1.0,1.0
49,48,-0.31991553,-1.3429939,1.0,1.0
50,49,0.296369,-1.6792598,1.0,1.0
