itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,1.206597,0.13531229,0.8859394,1.7366346
2,1,-0.57112736,-1.389788,2.0149179,0.8346486
3,2,-1.011552,0.04341308,1.4432036,1.0746648
4,3,0.953535,1.9120371,1.4612583,2.3550212
5,4,-1.7060595,-1.6861138,2.6424198,1.0014724
6,5,-2.4417303,-2.5019038,2.670282,0.93471706
7,6,0.11715204,1.5901107,1.1621437,2.3582184
8,7,-0.837559,0.94417846,2.745533,3.575415
9,8,0.21964502,-1.5186883,1.9686608,2.0992873
10,9,3.290122,1.6896778,0.549734,2.7372284
11,10,-0.19152951,1.7587824,1.6415114,1.9079764
12,11,-1.2410195,0.5043382,2.589257,1.5930119
13,12,0.35765353,0.5572687,0.8283979,1.4591645
14,13,-0.70316195,0.95752287,2.1386988,1.8372738
15,14,2.1748908,-0.043239128,1.4467002,1.9018955
16,15,0.47667292,-1.0188688,1.4852982,1.898119
17,16,-0.6224546,-1.9689957,1.5371033,1.8062757
18,17,-0.5810607,1.5308332,2.5940034,3.6760747
19,18,-1.4465295,-0.18905112,2.8868372,1.3044633
20,19,0.32356933,0.96079373,0.7877164,2.242893
21,20,0.23995732,2.5039883,1.3817555,1.8966306
22,21,-1.308621,-0.11454934,1.0994939,1.1832062
23,22,-0.10401006,-0.9841974,1.4265828,2.3302822
24,23,1.8421855,1.235271,0.6791208,1.3247652
25,24,-1.2825539,-0.5573239,2.3698184,1.0238498
26,25,1.2530049,0.2913167,2.8807957,1.0839746
27,26,1.1648157,-0.53550607,1.5661389,2.5592043
28,27,-0.6318278,0.1872331,2.3541744,0.57087994
29,28,-0.2268066,-1.3074329,2.2038803,0.5311246
30,29,-0.40587276,1.3440169,1.94912,0.8877409
31,30,0.016702585,0.9370132,1.3072135,1.5135537
32,31,-1.2040335,0.6141779,2.808435,2.020407
33,32,-0.16044018,1.2690343,3.4510195,0.7920633
34,33,-0.441981,1.3315462,1.9178052,4.137475
35,34,0.6040143,-0.5747366,0.9017882,2.388584
36,35,-0.7367009,0.30138585,1.2993172,1.5411171
37,36,0.037667844,2.3888862,2.1152754,2.261115
38,37,-0.20974025,0.6666561,0.8470724,2.9344354
39,38,-0.21627668,0.2715967,2.8703086,0.8534618
40,39,2.379056,0.32305512,0.58533627,2.150064
41,40,-0.15474084,1.6479418,2.0049253,2.2228594
42,41,-1.1760144,0.09381812,1.3753456,1.4683576
43,42,0.9683898,0.61084807,0.69663423,2.2404206
44,43,2.3087273,0.520828,0.5574597,2.261955
45,44,-1.1648555,0.031887423,1.7347232,1.5665735
46,45,2.0223737,-0.002627183,2.267086,2.1850123
47,46,-0.46398997,0.19672199,2.881859,0.50316584
48,47,1.1593153,0.7108154,2.6164403,0.8210247
49,48,-0.36042443,-0.6872391,2.1615193,0.6998049
50,49,-1.513649,0.6110032,1.9094127,1.3939506
