itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,1.5244578,-0.15602928,1.0,1.0
2,1,-0.5292774,-2.1809099,1.0,1.0
3,2,-2.5714366,0.39415658,1.0,1.0
4,3,1.4504077,2.9539137,1.0,1.0
5,4,-2.8219593,-2.4943113,1.0,1.0
6,5,-3.6613483,-3.266769,1.0,1.0
7,6,0.24637474,2.2642863,1.0,1.0
8,7,-0.80522156,0.89180577,1.0,1.0
9,8,-0.1131592,-1.979902,1.0,1.0
10,9,3.756241,1.779308,1.0,1.0
11,10,-0.14555888,2.200546,1.0,1.0
12,11,-1.877217,0.20959012,1.0,1.0
13,12,1.6357987,-0.3926158,1.0,1.0
14,13,0.37328658,-0.47586185,1.0,1.0
15,14,2.6913056,-0.2537452,1.0,1.0
16,15,0.63905305,-1.8224167,1.0,1.0
17,16,-1.0497421,-3.341431,1.0,1.0
18,17,-0.5141192,1.8237873,1.0,1.0
19,18,-1.9985816,-0.9688215,1.0,1.0
20,19,1.6147985,0.224319,1.0,1.0
21,20,0.46307766,2.8582485,1.0,1.0
22,21,-1.9467238,-0.07914533,1.0,1.0
23,22,-1.1358833,-1.0083596,1.0,1.0
24,23,0.41942844,3.8131065,1.0,1.0
25,24,-3.2473135,-0.6133835,1.0,1.0
26,25,1.6173763,0.7187814,1.0,1.0
27,26,1.4039357,-1.0613548,1.0,1.0
28,27,-1.3901213,0.1810983,1.0,1.0
29,28,-0.9860759,-0.43965188,1.0,1.0
30,29,1.1266325,-0.7362078,1.0,1.0
31,30,1.4142531,-0.355325,1.0,1.0
32,31,-1.3719102,0.07621812,1.0,1.0
33,32,0.87713087,-0.41487598,1.0,1.0
34,33,0.111280575,1.1667372,1.0,1.0
35,34,0.79667413,-1.7956227,1.0,1.0
36,35,-1.5331345,0.5999738,1.0,1.0
37,36,0.30576614,2.76028,1.0,1.0
38,37,1.7048029,-0.8174498,1.0,1.0
39,38,0.54883933,-0.7682172,1.0,1.0
40,39,2.3683708,0.081204705,1.0,1.0
41,40,0.4777012,1.2545284,1.0,1.0
42,41,-0.37068447,-1.3627816,1.0,1.0
43,42,1.5285141,0.08932553,1.0,1.0
44,43,0.30408156,2.043396,1.0,1.0
45,44,-0.667923,-1.2128626,1.0,1.0
46,45,2.832135,0.0057904245,1.0,1.0
47,46,-1.9611766,0.64022833,1.0,1.0
48,47,1.738153,0.92668784,1.0,1.0
49,48,-0.62985915,-0.89470565,1.0,1.0
50,49,-2.6409903,0.61793375,1.0,1.0
