id,sid,theta,k,c
1,0,-2.5071397,0.49925202,0.89445275
2,1,0.46990165,-0.3739385,0.7444916
3,2,1.7367291,-0.33868188,1.2485772
4,3,-0.52689314,0.12485264,1.3628758
5,4,1.9302422,1.028915,1.451673
6,5,-0.33308503,1.2873424,1.0618448
7,6,-0.23539495,1.4779236,1.5982469
8,7,-0.07011962,0.3780824,1.0004585
9,8,0.3753493,-0.28590453,1.399155
10,9,-2.35806,0.8188509,0.8788813
11,10,-0.32726702,-0.33304924,1.0080924
12,11,-1.7051977,0.24797934,1.329957
13,12,2.9995563,-0.051074367,1.2374821
14,13,0.72886425,0.48140496,0.85662884
15,14,-1.8246096,1.595738,1.2372568
16,15,0.2563732,0.2976828,0.81099975
17,16,1.3468447,0.77399206,0.99200505
18,17,0.9878321,0.8044203,1.1110666
19,18,1.1199173,0.8339605,0.8301783
20,19,-0.28283066,0.86182827,1.3281157
21,20,0.55650985,-0.51758724,0.98348355
22,21,-0.1599024,0.45595548,0.93866533
23,22,0.2587349,0.50689495,1.1062903
24,23,-0.3212012,0.110729136,0.68747914
25,24,0.3794502,1.3731452,1.1413616
26,25,-0.031351767,0.44198647,1.1450024
27,26,0.8923627,-0.28219885,1.1753858
28,27,0.61012745,0.10361183,0.3691146
29,28,-0.23000729,0.3410046,1.2353754
30,29,1.2680022,1.4490237,1.4288981
31,30,1.5990916,0.47744185,1.1894789
32,31,-1.5884538,1.0768989,1.0699388
33,32,-0.13537286,0.79709333,0.53720605
34,33,0.94682366,0.7277847,1.1308811
35,34,0.960162,-0.299744,1.5995092
36,35,-0.25390336,-0.11399141,1.2473974
37,36,0.2921289,1.1629491,0.83888835
38,37,-1.883694,0.7618036,0.9053463
39,38,0.8429784,-0.6651349,1.1608733
40,39,-0.7127371,-0.095160775,1.2060703
41,40,0.11804346,-0.011019308,0.6473858
42,41,-1.054866,0.91561204,1.4288781
43,42,-3.2073786,0.20427434,0.9608062
44,43,1.7400913,0.17485934,0.7789738
45,44,-0.5890708,-0.53109884,1.9143754
46,45,1.354749,-0.34356552,0.9710587
47,46,0.43410754,-0.27685326,1.3871386
48,47,-1.4616717,-0.06433954,0.8954996
49,48,0.9095444,1.077124,1.0450504
50,49,-0.71236414,1.1168437,1.6300256
51,50,0.25312188,1.3253813,1.1170933
52,51,0.19756976,0.8008606,0.8872914
53,52,1.4615521,0.11962781,1.251429
54,53,0.39291087,0.46840334,0.6721831
55,54,1.1143274,0.96046513,1.2806306
56,55,0.13819028,1.0019724,1.4189594
57,56,0.38348883,1.0067271,1.125106
58,57,-0.5437303,0.38529956,0.56204873
59,58,1.5005345,-0.16999874,1.2247028
60,59,-0.36369076,0.037921656,1.1375023
61,60,-0.81253254,-0.42703193,1.1194226
62,61,-1.4539888,0.14597762,0.82379216
63,62,-0.3764186,1.4401647,1.3099475
64,63,-1.1525159,0.65040714,0.9056173
65,64,-0.5069541,0.870593,1.4846158
66,65,1.8754338,0.44106668,0.7205446
67,66,-0.48619056,0.53453153,1.3596756
68,67,-0.01919472,1.0189952,1.1387775
69,68,-0.12926863,-0.068894796,0.8729294
70,69,0.914606,0.19350845,0.8080173
71,70,0.43035915,0.51883036,0.795266
72,71,-1.2174053,0.7692091,0.43828073
73,72,1.0959306,0.5666093,0.9089594
74,73,1.0715183,1.3524779,1.175625
75,74,-0.09884962,-0.44253376,1.1071556
76,75,-0.86915106,1.1905503,1.4020786
77,76,-0.7144855,0.035634786,0.68448365
78,77,0.60361266,0.49493524,0.642904
79,78,0.6025583,0.20376663,1.4942797
80,79,0.38758615,0.25633734,1.3813705
81,80,1.0306649,1.3147237,1.2766747
82,81,-1.9626472,1.0042089,1.0551082
83,82,1.186975,-0.21572904,1.5995468
84,83,-0.24371727,-0.13141078,1.1470183
85,84,-1.310828,-0.07466452,1.5664558
86,85,1.0666647,1.0089036,1.3054925
87,86,-0.45041382,0.5194179,1.0951575
88,87,-0.4536599,1.5225219,1.4097365
89,88,-0.60078603,-0.55043703,1.232303
90,89,-1.5547158,0.1699039,1.1045147
91,90,-0.70745045,1.5956213,1.6825037
92,91,-0.69312584,1.1415685,1.2961173
93,92,2.4392576,0.70913076,1.2830665
94,93,1.2566204,1.2482429,1.3386962
95,94,-0.51148164,0.12481275,1.2276198
96,95,0.4329474,0.38588342,1.0938498
97,96,-0.24485931,0.099208,0.90297645
98,97,0.17505775,1.5465622,1.4793386
99,98,-1.0658251,0.11058574,0.95591736
100,99,0.95994306,0.6077531,1.1094841
101,100,1.0066096,1.262791,1.1185408
102,101,-1.4706815,0.8910143,1.3473539
103,102,2.6442223,0.34570092,0.8593194
104,103,1.68792,0.2936273,0.9718324
105,104,-1.3037664,1.1268998,0.588317
106,105,0.99446094,0.24531068,0.8332752
107,106,0.39122057,-0.5875205,1.6637428
108,107,-1.7170006,0.55618393,0.73776764
109,108,-1.7226304,0.93053544,1.0205657
110,109,-1.3243555,0.20361502,1.144308
111,110,0.08578509,0.38723135,0.1922483
112,111,-0.57953495,0.911627,1.2804346
113,112,-0.4312287,1.057551,1.0715566
114,113,-1.0647789,-0.76736075,1.5084873
115,114,-1.2191597,0.63585776,1.4763412
116,115,-0.4384338,0.69691217,0.84754765
117,116,-1.036827,0.025909452,0.49974215
118,117,-1.3095005,-0.14825347,1.5637708
119,118,2.307884,-0.34306762,1.0057373
120,119,0.2088759,0.2832164,0.5568817
121,120,0.38236266,0.49994993,0.9107628
122,121,-1.099964,-0.31378192,1.2740555
123,122,0.042293314,0.24930546,0.74031955
124,123,-0.32245702,1.0152915,0.8243451
125,124,-0.4119915,1.2548803,1.2578397
126,125,-1.8860503,-0.12127032,1.223293
127,126,-1.4742643,-0.19846213,1.3002819
128,127,-1.1267958,0.6288436,0.81702083
129,128,0.2733187,0.67321795,0.9633297
130,129,0.64625865,0.85053355,1.2636245
131,130,-2.9796352,0.34421667,0.844223
132,131,1.7848839,0.75565755,1.2616853
133,132,1.3104789,0.1522058,1.272733
134,133,0.8699681,0.5350627,1.133382
135,134,0.7907244,1.7579701,1.5059044
136,135,1.6831303,1.1646897,1.0601286
137,136,0.40729606,0.865954,0.89056885
138,137,1.6543157,1.1394345,1.3831067
139,138,-0.5718398,-0.58874327,1.1202729
140,139,-0.16911621,0.7638677,0.43299276
141,140,0.8421432,0.26657224,0.57002777
142,141,2.0908992,0.41362992,1.0929328
143,142,1.2253693,0.959983,0.959956
144,143,3.5328293,0.33578938,1.1817087
145,144,0.37466645,0.24149208,1.2418174
146,145,0.9668689,-0.0029805675,0.8265781
147,146,0.6658871,0.23979579,1.2335178
148,147,-0.6949659,-1.0587198,1.8489733
149,148,-0.21669625,0.68891764,1.1622895
150,149,0.27091336,-0.31636557,1.0367919
151,150,-0.3988125,1.5702019,1.2169307
152,151,0.49029565,-0.50362694,1.570361
153,152,0.042570535,0.99798,1.4002616
154,153,0.35529667,-0.2971757,1.4820197
155,154,0.008744318,0.06019226,0.8098804
156,155,1.5582937,0.803698,1.0045052
157,156,0.6064777,1.1289681,1.2520102
158,157,-0.21612926,1.8505057,1.3650137
159,158,1.4139428,0.13663584,1.558284
160,159,-1.521725,0.21322945,1.1962184
161,160,0.12425152,-0.33271927,1.0526981
162,161,-0.84097,1.391046,1.0372994
163,162,0.8391974,1.0322025,1.1363275
164,163,0.7035396,0.5183863,1.2584047
165,164,-0.22662301,0.17324966,0.6970875
166,165,1.1795989,0.44901067,1.0856142
167,166,-1.321159,1.3449504,1.216732
168,167,1.4898646,1.1166291,1.2380669
169,168,-0.47607738,1.1861597,1.2789035
170,169,3.1809728,0.07470688,1.1056497
171,170,0.17041011,0.13680917,1.5084635
172,171,0.4080299,1.4104706,1.0795152
173,172,-2.2443519,1.4381788,1.3206766
174,173,-0.36786845,0.5868793,1.1872531
175,174,-1.3197848,1.414953,1.3696858
176,175,0.19325933,0.20152849,1.1636034
177,176,-1.2916186,0.40046,0.57431597
178,177,1.7863513,0.09388122,1.2897097
179,178,-1.3206035,-0.22392625,1.2172554
180,179,0.15677783,-0.17965296,0.8651057
181,180,1.2963377,0.29929543,0.87673783
182,181,3.5743158,-0.15874082,1.2980534
183,182,1.9946482,0.24313484,1.084112
184,183,0.17178196,1.5467486,1.561458
185,184,0.037274074,1.2288775,1.0864458
186,185,-0.34607196,0.32558173,1.1704446
187,186,2.9733965,0.6803944,1.3091272
188,187,-2.7220902,0.85936266,1.0543509
189,188,1.7614055,0.40628466,0.94516945
190,189,0.24680957,-0.17400272,1.5357201
191,190,-0.97083884,-0.1313128,1.2337822
192,191,-1.1768891,0.52174973,0.6821397
193,192,0.07771268,-0.06333976,1.0423131
194,193,0.47430587,0.99907374,1.1013073
