id,sid,theta,k,c
1,0,-2.0665405,0.49882448,1.0002778
2,1,0.43235168,0.49718267,0.9980941
3,2,1.1377392,0.4925421,1.000611
4,3,-0.3012506,0.5013632,1.0014744
5,4,1.2419657,0.49973187,1.0005643
6,5,-0.24991345,0.504401,1.0004718
7,6,-0.31222335,0.49934486,1.0012554
8,7,-0.053232297,0.50506914,1.0008444
9,8,0.22930554,0.49600357,1.0001851
10,9,-1.3315336,0.50549734,0.9999408
11,10,-0.37311304,0.4936617,0.99660075
12,11,-1.389234,0.4985351,1.0026653
13,12,1.6761252,0.49720517,1.0010979
14,13,0.5083261,0.49845606,0.99833125
15,14,-1.4514102,0.50677246,0.99874693
16,15,0.10200227,0.499297,0.99998826
17,16,0.9916575,0.500385,0.99891526
18,17,0.85790956,0.49856532,1.000584
19,18,0.9457343,0.5025622,0.99935603
20,19,-0.124331884,0.502415,1.0008564
21,20,0.5759751,0.4948302,0.9992233
22,21,-0.14072394,0.50207037,1.0015094
23,22,0.33352482,0.5031548,1.0001048
24,23,-0.25199378,0.50189596,0.99963313
25,24,0.26477927,0.5040888,0.999546
26,25,0.09269132,0.4988322,1.002088
27,26,0.5525665,0.49222383,0.9991607
28,27,0.39997792,0.49755204,0.99732316
29,28,-0.22472118,0.50136185,1.0017223
30,29,0.9146559,0.50748396,1.0008332
31,30,1.1621993,0.49687004,0.9995492
32,31,-1.1232113,0.5014229,0.99937654
33,32,0.008436087,0.5005244,0.99704057
34,33,0.66803426,0.4991943,1.0000093
35,34,0.74686277,0.49546343,1.0022417
36,35,-0.13824622,0.49858487,1.0008608
37,36,0.08751125,0.5016688,0.99815845
38,37,-1.3600847,0.50247985,0.99999815
39,38,0.65511394,0.4922447,0.9976369
40,39,-0.18704891,0.4999898,1.00121
41,40,-0.08673853,0.49518347,0.99862754
42,41,-0.6106212,0.50909394,1.0011516
43,42,-1.7712377,0.5014774,1.0002006
44,43,1.0710596,0.49534243,0.99881655
45,44,-0.5560675,0.4897793,1.002348
46,45,0.72886693,0.49441776,0.99930376
47,46,0.37779,0.49363136,1.0011843
48,47,-0.963111,0.50003713,0.9983528
49,48,0.59612936,0.50278807,0.99938995
50,49,-0.72261673,0.5028282,1.0015458
51,50,0.15454808,0.50754374,1.0002608
52,51,0.24014452,0.5028269,0.9989659
53,52,0.95136017,0.49773479,1.0007582
54,53,0.50890726,0.5005335,0.9999684
55,54,0.8843325,0.50332326,1.0007807
56,55,0.20442705,0.50118375,1.0014079
57,56,0.26235396,0.50390655,1.0015402
58,57,-0.61805296,0.5005932,0.9999872
59,58,0.896939,0.49472192,1.0001811
60,59,-0.23693977,0.5017532,1.0013566
61,60,-0.6409732,0.49624532,0.99862313
62,61,-0.9208124,0.4993565,0.99879247
63,62,-0.25768903,0.5048508,0.99964815
64,63,-1.072654,0.49814948,1.0002654
65,64,-0.4702963,0.50420064,1.002015
66,65,1.1736603,0.49915996,0.99915767
67,66,-0.38312262,0.5018784,1.0016142
68,67,0.14369069,0.50263834,0.999815
69,68,-0.073569,0.49640143,0.9991281
70,69,0.6648638,0.49902046,0.999781
71,70,0.32109854,0.49909085,1.0000094
72,71,-0.64680254,0.49922496,0.9983747
73,72,0.7372951,0.49378967,1.0004842
74,73,0.8381961,0.49797797,0.9978429
75,74,0.06463688,0.49366635,1.0000466
76,75,-0.51541775,0.5099673,1.0026964
77,76,-0.7312925,0.4948976,0.9972251
78,77,0.279638,0.5006586,0.9988601
79,78,0.2713396,0.4943884,1.0011059
80,79,0.12458226,0.4991909,1.0004534
81,80,0.60106343,0.5056009,1.0000272
82,81,-1.373729,0.50276625,1.0008954
83,82,0.9123651,0.4913427,1.001818
84,83,-0.18083678,0.49635342,1.001556
85,84,-0.9631457,0.5007075,1.0012577
86,85,0.89583635,0.5032065,1.0025927
87,86,-0.31813762,0.50183827,1.0022367
88,87,-0.3381165,0.5092646,1.0005072
89,88,-0.52751243,0.49561673,0.9992995
90,89,-1.1602743,0.49995184,1.0014277
91,90,-0.5085615,0.5048844,1.0019681
92,91,-0.41641456,0.50506777,1.0004586
93,92,1.5370969,0.4995139,1.0009648
94,93,0.88467884,0.5007495,1.0006151
95,94,-0.34624338,0.50130224,1.0008783
96,95,0.36747405,0.5007911,1.0018774
97,96,-0.14020899,0.49799666,0.9998489
98,97,0.016328195,0.50265354,1.0021132
99,98,-0.759772,0.49854887,1.0002629
100,99,0.7910451,0.5049495,1.0004661
101,100,0.7262286,0.50399697,1.0009716
102,101,-1.0609487,0.50434786,1.0003781
103,102,2.2403276,0.50239533,0.9982023
104,103,1.1325133,0.49629545,1.0003351
105,104,-0.7342495,0.50962996,0.99653435
106,105,0.69922364,0.496955,0.99950475
107,106,0.45138282,0.49064353,1.0002981
108,107,-1.1913054,0.49884164,0.998178
109,108,-1.0887302,0.50580174,0.9997427
110,109,-0.7939352,0.49930772,0.9995779
111,110,0.25910625,0.5026179,0.9974394
112,111,-0.28762075,0.50427276,1.001106
113,112,-0.32226497,0.50396925,1.0001957
114,113,-0.8379883,0.4940912,0.99937445
115,114,-1.0252945,0.5053214,1.0031081
116,115,-0.20636357,0.49950087,1.0005623
117,116,-0.62234175,0.4990273,1.0000753
118,117,-1.0386353,0.49500394,1.0009366
119,118,1.4310522,0.49286819,0.9983682
120,119,0.090891935,0.4958258,0.9987928
121,120,-0.075895086,0.49498674,0.9992833
122,121,-0.7298678,0.49706495,0.99936765
