id,sid,theta,k,c
1,0,-1.7211318,0.50196725,1.001499
2,1,0.05083957,0.4968409,0.99649566
3,2,0.9503185,0.4948784,1.001505
4,3,-0.90741974,0.49878627,1.0015491
5,4,1.3769491,0.5017021,1.0020362
6,5,-0.33376127,0.50559974,1.000534
7,6,-0.15674992,0.49286795,1.0006322
8,7,-0.035252757,0.50266755,1.0008065
9,8,0.534667,0.48969123,1.0015553
10,9,-1.562889,0.49893954,0.9996263
11,10,-0.45497188,0.49200603,0.9989513
12,11,-0.99825126,0.5018432,1.0015876
13,12,1.715824,0.5025111,0.9995701
14,13,0.8741901,0.49771416,1.0003341
15,14,-1.1048418,0.50155413,0.998756
16,15,0.22027068,0.50152826,1.0008271
17,16,0.8887725,0.5008545,1.0000516
18,17,0.5825522,0.49806145,0.9997316
19,18,0.94407284,0.5046234,1.000115
20,19,-0.28276876,0.49797487,1.0005927
21,20,0.5213432,0.48967266,1.0010515
22,21,-0.03917332,0.49696437,0.998466
23,22,-0.0149494335,0.5074865,1.0002555
24,23,-0.36282748,0.50402915,0.9984435
25,24,0.35502526,0.49617073,0.99972403
26,25,-0.03076573,0.50361156,1.0012819
27,26,0.6888156,0.4983943,0.9999197
28,27,0.30074674,0.49682176,0.99897075
29,28,-0.20446938,0.49890766,1.0004585
30,29,0.87421584,0.51079094,1.0025423
31,30,1.0859125,0.49991447,1.0007751
32,31,-1.2282497,0.49972484,0.99981254
33,32,0.07344561,0.49601063,1.0000752
34,33,0.57365,0.5026842,1.0020351
35,34,0.5623271,0.504543,1.000894
36,35,-0.102467686,0.4975357,1.0009943
37,36,-0.0437046,0.5100169,0.99970484
38,37,-1.6144627,0.5029242,0.9985008
39,38,0.7081043,0.49200052,0.9978588
40,39,-0.5611515,0.49503815,1.0005739
41,40,-0.0333667,0.5006872,1.0002921
42,41,-0.56425637,0.50195503,1.0000637
43,42,-1.8631709,0.4987287,0.99983054
44,43,1.2577069,0.49732596,0.9990344
45,44,-0.42200983,0.49441501,1.001015
46,45,1.0793915,0.49783704,0.9988209
47,46,0.5970768,0.50257516,1.000565
48,47,-0.818656,0.50284547,1.0001628
49,48,0.44594932,0.50098515,1.0017532
50,49,-0.7399479,0.50026417,1.0010062
51,50,-0.04097176,0.5020301,1.000209
52,51,0.044157594,0.50126296,1.0001428
53,52,0.553075,0.50132024,1.0003812
54,53,0.32481387,0.50941503,1.0001181
55,54,0.49877644,0.5056236,1.0033251
56,55,0.05576197,0.50340444,1.0014902
57,56,0.24848354,0.50210166,0.99970645
58,57,-0.20460206,0.49717513,0.9995734
59,58,1.1875508,0.49614906,0.99965584
60,59,-0.18771403,0.49719214,1.0006701
61,60,-0.333019,0.49942854,0.999657
62,61,-0.9299283,0.49807578,0.9984527
63,62,-0.15840031,0.50411993,0.9992166
64,63,-0.6711006,0.5023972,1.0004786
65,64,-0.4092648,0.5052352,1.0030916
66,65,1.2522181,0.50208825,1.000198
67,66,-0.17033741,0.49794418,1.001419
68,67,0.18167739,0.5068133,0.99995774
69,68,-0.11667274,0.49375483,1.0009178
70,69,0.7694573,0.49481642,0.9991456
71,70,0.3354107,0.50304693,1.0033904
72,71,-0.692033,0.5011019,0.9987194
73,72,0.8071286,0.49832824,1.0008193
74,73,0.8002779,0.50266296,0.99785143
75,74,-0.47110042,0.49764615,1.0019919
76,75,-0.4732602,0.50237423,1.0015409
77,76,-0.31720343,0.49147394,0.9993287
78,77,0.386352,0.49074304,1.0003756
79,78,0.5010873,0.5000369,1.0016911
80,79,-0.24866536,0.49520794,1.0001063
81,80,0.573927,0.50684357,0.9986644
82,81,-1.0877333,0.50530547,1.0021306
83,82,0.7326058,0.4925027,1.0018703
84,83,0.010591498,0.50238323,1.000636
85,84,-1.1356128,0.49782452,1.0001414
86,85,0.37766755,0.4973225,0.999646
87,86,-0.21400289,0.50358146,1.0013455
88,87,-0.47063687,0.50823766,1.0001569
89,88,-0.5277788,0.49770653,1.0004368
90,89,-0.94986546,0.50040364,0.99966544
91,90,-0.80602103,0.50198716,0.99959314
92,91,-0.49654245,0.5038265,0.9999418
93,92,1.7374078,0.501188,1.0007224
94,93,0.7427969,0.5003747,1.0012336
95,94,-0.37038013,0.50178176,1.001226
96,95,0.6354949,0.5018899,1.0000871
97,96,-0.06764166,0.5018264,0.99857044
98,97,0.0680371,0.5082635,1.0016698
99,98,-0.89704055,0.49356866,1.000662
100,99,0.5840062,0.50489455,1.0007542
101,100,1.0033913,0.49923828,1.0003123
102,101,-1.0925831,0.5043044,0.9997807
103,102,1.8223474,0.50243294,0.99880445
104,103,1.1244781,0.49389875,1.0009414
105,104,-1.0359869,0.5011344,0.99809265
106,105,0.9611876,0.5019867,0.9989975
107,106,0.4397692,0.49267748,1.0008497
108,107,-1.0269582,0.49521953,1.0001706
109,108,-1.4434572,0.5031736,1.0000008
110,109,-1.0719398,0.49584788,0.9994271
111,110,0.069527864,0.49846688,0.9976537
112,111,-0.64556026,0.49744272,0.99944687
113,112,-0.34798744,0.5043039,0.99985003
114,113,-0.5294684,0.4920771,0.9985835
115,114,-0.9561592,0.5119343,1.0033213
116,115,-0.22298837,0.49914464,0.9994806
117,116,-0.68207544,0.49786392,1.000892
118,117,-1.132695,0.49514645,1.0026476
119,118,1.6006216,0.49699333,0.9999441
120,119,0.2558682,0.50048035,0.9988892
121,120,0.14036737,0.4993475,0.99991167
122,121,-0.9792713,0.49479446,0.99986166
123,122,0.09722044,0.5044756,1.0006878
124,123,-0.21946211,0.5026648,0.99878144
125,124,-0.28174844,0.50494474,1.0013598
126,125,-1.3491399,0.49600655,1.0009218
127,126,-1.1466215,0.4974273,1.0011775
128,127,-0.94082,0.5026084,0.9984356
129,128,0.18450668,0.51227844,1.0015354
130,129,0.18220362,0.50205284,1.0016562
131,130,-2.023798,0.49776697,0.9997532
132,131,1.1636609,0.50112396,1.0000608
133,132,0.85738647,0.50608045,0.99986655
134,133,0.3989742,0.49921435,1.001563
135,134,0.47650048,0.51177454,1.0002508
136,135,1.3019019,0.5038953,0.9993072
137,136,0.17610279,0.5036107,0.9993039
138,137,0.8601841,0.50022006,1.0019283
139,138,-0.35320252,0.4930784,1.0000788
140,139,-0.12694664,0.4985737,0.9998199
141,140,0.89513314,0.5000306,0.9983557
142,141,1.4254525,0.4953914,1.0017955
143,142,0.76063037,0.505442,0.9990861
144,143,2.24917,0.49791616,1.0001266
145,144,0.51243675,0.5012676,0.9997463
146,145,0.31859648,0.49259314,0.9984111
147,146,0.45673653,0.5043889,1.0008343
148,147,-0.57850343,0.49738336,1.0002474
149,148,0.09191928,0.50196177,1.0011078
150,149,0.31890148,0.4920203,1.0012404
151,150,-0.44520172,0.5069045,0.99976355
152,151,0.46401048,0.48846558,1.0009788
153,152,0.29482192,0.5049745,1.0013624
154,153,0.21445675,0.4868145,1.0014328
155,154,-0.13014102,0.49836034,0.999212
156,155,1.090105,0.50357276,0.9989536
157,156,0.39099377,0.5039837,1.0007625
158,157,-0.08858985,0.5060304,0.99927086
159,158,0.8770568,0.49689025,1.0008354
