itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.64763886,0.5102184,0.913915,1.0831692
2,1,-0.74425375,-1.3553716,0.9914199,1.4662496
3,2,-0.96131074,-0.7086074,0.92958194,0.9340188
4,3,1.8716514,1.7267337,1.2323564,1.0254369
5,4,-2.2377539,-2.2055163,1.2206876,1.2040256
6,5,-3.1822162,-2.807366,1.8271878,0.9163577
7,6,1.0407201,1.0359293,0.86472857,1.150555
8,7,-0.36368296,0.36024964,1.0325571,1.2818013
9,8,-0.47877175,-0.99138325,0.94116426,1.7443887
10,9,2.4105675,2.305699,1.1203446,0.90449095
11,10,0.79058063,0.92615926,1.0540715,0.7651029
12,11,-0.80848515,-0.6354273,1.1792015,0.77915055
13,12,0.5215034,0.5226708,0.90501565,0.9854729
14,13,-0.10804503,-0.024202641,1.0446045,1.0187131
15,14,1.1181448,0.7274509,0.8419791,1.0903043
16,15,-0.24393673,-0.639091,1.1068976,1.0875077
17,16,-1.3766391,-1.9048873,0.9258503,1.546035
18,17,0.029996626,0.8981022,0.9855473,1.2536888
19,18,-1.4259295,-1.2549695,1.3205917,0.85749936
20,19,0.9610722,0.53632516,1.3230196,0.8953476
21,20,1.1417726,1.5074397,0.9097832,1.0778866
22,21,-1.0532662,-0.8148423,1.0602612,0.83604836
23,22,-0.7163808,-1.17152,0.88924575,1.4657438
24,23,1.1948353,1.864733,0.72340024,1.2252227
25,24,-1.93347,-1.3339766,1.10481,0.7893901
26,25,1.156035,0.89175457,1.3737842,0.80521333
27,26,0.31548458,-0.028772471,0.9376207,1.1301205
28,27,-0.585051,-0.5810799,1.0682664,0.81971896
29,28,-0.5558622,-0.8647093,0.82464975,1.0981183
30,29,0.20001267,0.10539649,1.2060537,0.70019245
31,30,0.5103374,0.38030288,0.94272506,1.0677574
32,31,-0.836292,-0.19820218,1.3460094,1.0205281
33,32,0.18022265,0.15455997,1.4384823,1.0123655
34,33,0.42630413,0.59519094,1.083334,1.2344824
35,34,-0.3503641,-0.47089243,1.0592394,0.79010355
36,35,-0.4330923,-0.3328705,0.75098354,1.466505
37,36,1.280256,1.0930874,1.2504575,0.7994927
38,37,0.6591569,-0.04761219,1.2704914,0.93248945
39,38,0.19765857,-0.401406,1.3703932,1.1863248
40,39,1.0201019,0.85904783,1.199938,0.9128231
41,40,0.6484157,0.78381926,1.3636726,0.98876786
42,41,-0.6238997,-0.95372325,0.8219826,1.306938
43,42,0.7788453,0.49131742,1.3007678,1.0338995
44,43,0.7712429,1.1481252,0.9408358,1.1548101
45,44,-0.9077391,-0.7371995,1.0806701,1.2111295
46,45,1.2852833,0.95115006,0.999838,0.8316527
47,46,-0.72190356,-0.33819965,1.1144348,0.8513969
48,47,1.2981842,1.2946824,1.4403957,0.6014007
49,48,-0.79890066,-0.62528473,1.3106183,0.8466733
50,49,-1.0087574,-0.55145127,1.0560495,0.698838
