id,sid,theta,k,c
1,0,-1.9173036,0.502222,1.0014863
2,1,0.24488834,0.5051908,0.9997567
3,2,1.497964,0.503092,1.0017992
4,3,0.25903228,0.5048483,1.0004152
5,4,1.2877231,0.49545604,0.99991584
6,5,-0.7589347,0.49681473,0.9993636
7,6,0.10020323,0.49600574,1.0005672
8,7,0.11536908,0.49952772,1.0003269
9,8,0.76642406,0.49234927,1.0007613
10,9,-1.4558219,0.49499974,1.0001781
11,10,-0.4326,0.50361544,1.0005895
12,11,-1.4773614,0.5074474,0.99981624
13,12,0.97040445,0.509864,0.9988371
14,13,0.40699303,0.5049078,1.0036359
15,14,-1.1066475,0.49992907,0.99927616
16,15,0.37905657,0.4977774,0.9997074
17,16,0.5824049,0.49636173,1.0008482
18,17,1.1761049,0.49863502,1.0003098
19,18,0.8960107,0.49441138,1.0004846
20,19,0.2663232,0.5017146,1.0009
21,20,0.9269312,0.501798,1.0001706
22,21,-0.23582432,0.4982212,1.0013188
23,22,-0.35763204,0.5011948,0.9991066
24,23,0.3641109,0.4963819,0.997093
25,24,0.45618325,0.48883316,1.0010778
26,25,-0.10243098,0.4992624,1.0025438
27,26,0.53276837,0.50666976,0.9994901
28,27,0.8224095,0.50183773,1.0009944
29,28,-0.26267493,0.49682045,0.9973215
30,29,0.65789413,0.5015691,0.99845356
31,30,1.2088034,0.49872413,1.0001293
32,31,-0.92105156,0.5031675,1.0019548
33,32,0.06829813,0.4898659,0.9962537
34,33,1.0896263,0.49764702,1.0019526
35,34,0.3559257,0.4965045,1.0031947
36,35,-0.402358,0.5004664,0.99929726
37,36,0.36977485,0.49287814,1.0007592
38,37,-1.1728672,0.49859935,0.99834377
39,38,0.22007681,0.5007058,0.9998074
40,39,-0.5284249,0.5005783,0.9999349
41,40,-0.25799817,0.4973026,0.9994534
42,41,-0.6454313,0.49337664,1.0014081
43,42,-1.9457022,0.5049861,0.9996282
44,43,1.5339105,0.49607208,1.0007445
45,44,-0.6334447,0.5030886,1.0043504
46,45,1.3775823,0.49773395,1.0020566
47,46,0.5463627,0.49405274,1.0011418
48,47,-1.0029143,0.49407294,0.998617
49,48,0.95927894,0.5006655,0.99855685
50,49,-0.9766346,0.49489906,1.0018181
51,50,-0.31442186,0.49817047,0.99906677
52,51,0.3311996,0.498231,0.9991554
53,52,0.32350212,0.4871826,0.9983734
54,53,0.5033992,0.49976388,1.0022593
55,54,0.38259533,0.49911308,0.9983781
56,55,0.44827676,0.49028483,0.9987647
57,56,-0.40172696,0.50322795,0.9978893
58,57,0.17265375,0.5010984,0.99973965
59,58,0.9836095,0.50223464,1.001553
60,59,0.94001997,0.49993247,0.99929696
61,60,-0.27476484,0.50235516,0.9999203
62,61,-0.2941039,0.5047076,0.99975
63,62,-0.08106633,0.49927032,1.0021607
64,63,-0.85506505,0.511844,1.0005174
65,64,0.0671161,0.50093246,1.0016958
66,65,1.2828691,0.4969226,0.99827045
67,66,-0.09345185,0.49446616,0.9977428
68,67,0.41707146,0.49980143,0.99897224
69,68,-0.4395909,0.5040766,1.0001426
70,69,0.6996517,0.49391532,0.99922687
71,70,0.16722913,0.4964371,0.99980325
72,71,-0.85547864,0.5019839,0.9986317
73,72,0.6648339,0.499925,0.9988002
74,73,0.8562601,0.50041395,1.0009822
75,74,0.4765476,0.5100821,1.0027075
76,75,-0.71742547,0.49514842,0.9990707
77,76,0.4024231,0.50518876,0.9984861
78,77,0.08297156,0.5006462,0.99969256
79,78,0.47188196,0.49453253,1.0012356
80,79,0.6814282,0.5007907,1.001712
81,80,0.51358974,0.48901162,0.9990569
82,81,-1.7467182,0.50196975,0.99933857
83,82,1.5694116,0.49831212,1.000327
84,83,0.17485277,0.4954444,1.001726
85,84,-1.2121087,0.50220746,1.0002503
86,85,-0.35004118,0.50059134,1.0013056
87,86,-0.576073,0.50298965,1.0014579
88,87,-0.4557499,0.50311923,0.9993725
89,88,0.024655007,0.5019529,1.000703
90,89,-0.98657376,0.5028686,1.0003573
91,90,-0.9481529,0.49854925,0.99829704
92,91,-0.5046764,0.50184935,0.997694
93,92,1.0936676,0.49926838,0.99752414
94,93,1.070408,0.49641305,0.9991237
95,94,0.024132947,0.50509584,0.9984218
96,95,0.45747223,0.5037581,1.0032581
97,96,-0.08794606,0.506517,0.9990963
98,97,-0.5471293,0.5025787,1.000237
99,98,-0.6304745,0.50384927,0.9986403
100,99,0.36303627,0.5066719,1.0032772
101,100,0.1575813,0.4987546,1.0005939
102,101,-1.0604111,0.50220054,0.99913657
103,102,2.0690968,0.4991868,0.99935085
104,103,1.5127852,0.4948156,0.99978644
105,104,-0.6519556,0.5083555,1.0011654
106,105,0.29056916,0.50307816,0.9999215
107,106,0.6056912,0.49764103,1.0017977
108,107,-0.97880965,0.5017951,1.0009688
109,108,-0.91057783,0.49834695,1.0014675
110,109,-0.63427347,0.4933305,1.0029536
111,110,-0.49602216,0.49657372,1.0014681
112,111,-0.4336463,0.49818203,0.9992267
113,112,-0.21098958,0.50646174,1.0021046
